Trading Date,No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
2020-04-29,288,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,10025,0,29 Apr 2020,0,10100,9900,10000,-25,3956900,39481642500,3386,370.7,10000,153600,9975,5300,11661908000,11661908000,11661908000,1456700,2449200,2059633,20545675500,5
2020-04-30,288,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,10000,0,30 Apr 2020,0,10150,9875,9875,-125,7794500,77745255000,5694,366.1,9900,20500,9875,27200,11661908000,11661908000,11661908000,2424700,3370500,380,3771475,7
2020-05-04,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9875,0,04 May 2020,0,9900,9700,9700,-175,5036700,49094062500,5114,359.6,9725,31900,9700,89700,11661908000,11661908000,11661908000,1482800,1246300,186,1832436,3
2020-05-05,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9700,0,05 May 2020,0,9850,9700,9750,50,2481700,24207632500,2597,361.4,9775,27200,9750,183000,11661908000,11661908000,11661908000,1465400,410400,10200,99960000,1
2020-05-06,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9750,0,06 May 2020,0,9875,9650,9675,-75,5417100,52738800000,3405,358.7,9725,20900,9650,380800,11661908000,11661908000,11661908000,2560700,1119700,11580,112042500,2
2020-05-08,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9675,0,08 May 2020,0,9775,9550,9625,-50,7505800,72339710000,6520,356.8,9650,2600,9625,93700,11661908000,11661908000,11661908000,6198000,3720100,35,337750,1
2020-05-11,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9625,0,11 May 2020,0,9825,9700,9750,125,3409000,33349240000,3432,361.4,9775,10400,9750,17700,11661908000,11661908000,11661908000,1381000,1329200,613476,6000887133,6
2020-05-12,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9750,0,12 May 2020,0,9800,9625,9750,0,10015800,97357450000,4677,361.4,9750,500,9700,200,11661908000,11661908000,11661908000,2366100,2261100,90002,876794588,6
2020-05-13,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9750,0,13 May 2020,0,9775,9600,9650,-100,3462800,33588590000,2519,357.7,9675,5800,9650,173100,11661908000,11661908000,11661908000,1451100,1318100,2078163,20260425525,8
2020-05-14,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9650,0,14 May 2020,0,9975,9600,9725,75,7272200,71317342500,4618,360.5,9750,5500,9725,25200,11661908000,11661908000,11661908000,1732900,1819400,4825,46321250,2
2020-05-15,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9725,0,15 May 2020,0,9900,9700,9700,-25,6164400,60182057500,3255,359.6,9750,400,9700,87300,11661908000,11661908000,11661908000,2796900,2443400,640100,6276172400,3
2020-05-18,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9700,0,18 May 2020,0,9825,9625,9725,25,3533300,34383852500,2757,360.5,9750,5200,9725,1500,11661908000,11661908000,11661908000,1609300,1735300,1274029,12394287300,3
2020-05-19,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9725,0,19 May 2020,0,9950,9800,9900,175,6299300,62295762500,3162,367.0,9900,118700,9875,1700,11661908000,11661908000,11661908000,770700,819500,688552,6803443300,9
2020-05-20,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9900,0,20 May 2020,0,9900,9350,9600,-300,11973600,115365407500,5183,355.9,9650,300,9600,580900,11661908000,11661908000,11661908000,1544500,4592100,2718428,26136618200,6
2020-05-26,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9600,0,26 May 2020,0,9600,8950,8950,-650,10324600,92475765000,9035,331.8,8950,92976000,0,0,11661908000,11661908000,11661908000,135300,1821000,972007,8794875000,5
2020-05-27,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8950,0,27 May 2020,0,8700,8325,8325,-625,13319000,110883080000,8686,308.6,8325,83524600,0,0,11661908000,11661908000,11661908000,3158800,2612700,135846,1129096838,6
2020-05-28,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8325,0,28 May 2020,0,8575,7750,8325,0,204450600,1669878247500,63950,308.6,8350,115400,8325,1197300,11661908000,11661908000,11661908000,59653200,16510200,6536372,55548371700,13
2020-05-29,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8325,0,29 May 2020,0,8500,8150,8150,-175,61130900,507632517500,21078,302.1,8175,479800,8150,6217800,11661908000,11661908000,11661908000,35564400,29117900,302976,2575176350,8
2020-06-02,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8150,0,02 Jun 2020,0,8550,8250,8475,325,39990400,338760417500,19127,314.2,8500,724500,8475,1884800,11661908000,11661908000,11661908000,11305000,13271900,2738672,24520263675,7
2020-06-03,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8475,0,03 Jun 2020,0,8800,8400,8500,25,38866800,333509770000,19540,315.1,8500,237100,8475,808900,11661908000,11661908000,11661908000,7193000,8143000,228450,1947267100,4
2020-06-04,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8500,0,04 Jun 2020,0,8700,8500,8500,0,28171800,241090545000,11053,315.1,8525,211700,8500,1767900,11661908000,11661908000,11661908000,10791600,9650300,318576,2743746650,6
2020-06-05,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8500,0,05 Jun 2020,0,8625,8400,8625,125,13685700,117086240000,8068,319.7,8650,281600,8625,275600,11661908000,11661908000,11661908000,1953000,5875500,325316,2720320381,4
2020-06-08,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8625,0,08 Jun 2020,0,9000,8700,8775,150,24469300,216642877500,14675,325.3,8800,67300,8775,294400,11661908000,11661908000,11661908000,5187400,3614600,10097,89827450,3
2020-06-09,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8775,0,09 Jun 2020,0,8975,8800,8900,125,21394700,190084172500,8714,329.9,8900,211800,8875,36000,11661908000,11661908000,11661908000,4055500,6237300,11546,102765260,5
2020-06-10,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8900,0,10 Jun 2020,0,8900,8625,8650,-250,15356000,133386625000,7657,320.7,8675,31200,8650,276700,11661908000,11661908000,11661908000,1882700,2555800,124265,1102851875,5
2020-06-11,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8650,0,11 Jun 2020,0,8750,8450,8600,-50,11516100,99007470000,6012,318.8,8600,83500,8575,95500,11661908000,11661908000,11661908000,1876800,4499600,126,1097550,3
2020-06-12,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8600,0,12 Jun 2020,0,8625,8200,8600,0,15411500,130612740000,6793,318.8,8625,73000,8600,2024800,11661908000,11661908000,11661908000,3981900,7049600,116,979160,2
2020-06-15,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8600,0,15 Jun 2020,0,8800,8575,8700,100,12064600,105253900000,5468,322.5,8725,226200,8700,728000,11661908000,11661908000,11661908000,1977000,3958500,122829,1050009400,2
2020-06-16,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8700,0,16 Jun 2020,0,8900,8700,8875,175,9437600,83458435000,7252,329.0,8900,1303500,8875,38800,11661908000,11661908000,11661908000,2169900,3867300,160,1407750,2
2020-06-17,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8875,0,17 Jun 2020,0,9000,8875,8950,75,7449300,66493922500,5601,331.8,8950,1611000,8925,43000,11661908000,11661908000,11661908000,1723100,3381600,255154,2256068550,3
2020-06-18,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8950,0,18 Jun 2020,0,8975,8750,8750,-200,6346200,56043950000,5785,324.4,8900,31900,8750,300600,11661908000,11661908000,11661908000,1771200,1464900,95245,836155863,8
2020-06-19,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8750,0,19 Jun 2020,0,8925,8675,8925,175,6381100,56569280000,3846,330.9,8925,147500,8900,500,11661908000,11661908000,11661908000,3211000,3605600,27,237850,2
2020-06-22,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8925,0,22 Jun 2020,0,9250,8900,9100,175,15587900,141588292500,7629,337.3,9100,1373900,9075,151600,11661908000,11661908000,11661908000,3702500,3379800,296110,2670885305,9
2020-06-23,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9100,0,23 Jun 2020,0,9150,8925,8925,-175,12104800,109061282500,6065,330.9,8950,18300,8925,156400,11661908000,11661908000,11661908000,8206900,4955900,182,1647944,4
2020-06-24,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8925,0,24 Jun 2020,0,9075,8925,9075,150,6518200,58904035000,3716,336.4,9075,85800,9050,17400,11661908000,11661908000,11661908000,2007600,2275600,45,409500,1
2020-06-25,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9075,0,25 Jun 2020,0,9075,8950,8975,-100,5614100,50502730000,3650,332.7,9000,41400,8975,116200,11661908000,11661908000,11661908000,2651600,2192400,218628,1983847700,3
2020-06-26,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,8975,0,26 Jun 2020,0,9250,9000,9225,250,10454900,95751880000,5859,342.0,9225,223600,9200,40400,11661908000,11661908000,11661908000,1745600,5714000,210084,1898629350,5
2020-06-29,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9225,0,29 Jun 2020,0,9450,9125,9400,175,12020200,112580022500,6152,348.5,9425,155500,9400,489000,11661908000,11661908000,11661908000,4537800,6900600,106,977850,2
2020-06-30,289,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9400,0,30 Jun 2020,0,9500,9350,9350,-50,13922700,130898487500,5770,346.6,9350,80800,9325,62300,11661908000,11661908000,11661908000,5561000,8950600,1181785,11091698900,10
