[train_mean][TCN efficiency] Running on device: cpu
[train_mean][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 069 | train=0.000132 | val=RMSE:234.29|MAE:195.48|MAPE:1.96% | epoch_time=0.79s
[efficiency_mean] Epoch 070 | train=0.000148 | val=RMSE:358.32|MAE:313.37|MAPE:3.13% | epoch_time=0.80s
[efficiency_mean] Epoch 071 | train=0.000154 | val=RMSE:284.82|MAE:242.46|MAPE:2.42% | epoch_time=0.79s
[efficiency_mean] Epoch 072 | train=0.000214 | val=RMSE:341.91|MAE:296.53|MAPE:2.96% | epoch_time=0.79s
[efficiency_mean] Epoch 073 | train=0.000173 | val=RMSE:378.54|MAE:334.94|MAPE:3.35% | epoch_time=0.80s
[efficiency_mean] Epoch 074 | train=0.000134 | val=RMSE:338.34|MAE:293.62|MAPE:2.93% | epoch_time=0.80s
[efficiency_mean] Epoch 075 | train=0.000129 | val=RMSE:334.91|MAE:295.02|MAPE:2.95% | epoch_time=0.79s
[efficiency_mean] Epoch 076 | train=0.000112 | val=RMSE:320.56|MAE:279.05|MAPE:2.79% | epoch_time=0.79s
[efficiency_mean] Epoch 077 | train=0.000115 | val=RMSE:350.53|MAE:310.76|MAPE:3.10% | epoch_time=0.79s
[efficiency_mean] Epoch 078 | train=0.000142 | val=RMSE:269.80|MAE:230.95|MAPE:2.31% | epoch_time=0.79s
[efficiency_mean] Epoch 079 | train=0.000214 | val=RMSE:314.20|MAE:268.95|MAPE:2.69% | epoch_time=0.80s
[efficiency_mean] Epoch 080 | train=0.000186 | val=RMSE:387.65|MAE:347.61|MAPE:3.48% | epoch_time=0.79s
[efficiency_mean] Epoch 081 | train=0.000142 | val=RMSE:373.27|MAE:334.23|MAPE:3.34% | epoch_time=0.79s
