Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
2022-03-01,11:00:00,,,Inflation (MoM) (Feb),-0.02%,-0.02%,0.56%
2022-03-02,17:39:00,,,Loans (YoY) (Jan),5.79%,,5.20%
2022-03-03,All Day,,,Indonesia - Hindu Saka New Year,,,
2022-03-08,11:00:00,,,FX Reserves (USD) (Feb),141.40B,,141.30B
2022-03-09,10:00:00,,,Consumer Confidence (Feb),113.1,,119.6
2022-03-10,11:00:00,,,Retail Sales (YoY) (Jan),15.20%,,13.80%
2022-03-14,16:15:00,,,Car Sales (YoY) (Feb),65.10%,,58.90%
2022-03-14,16:15:00,,,Motorbike Sales (YoY) (Feb),-2.60%,,12.50%
2022-03-15,11:00:00,,,Export Growth (YoY) (Feb),34.14%,37.32%,25.31%
2022-03-15,11:00:00,,,Import Growth (YoY) (Feb),25.43%,40.04%,36.77%
2022-03-15,11:00:00,,,Trade Balance (Feb),3.82B,1.66B,0.93B
2022-03-17,14:18:00,,,Loans (YoY) (Feb),6.33%,,5.79%
2022-03-17,14:22:00,,,Deposit Facility Rate (Mar),2.75%,2.75%,2.75%
2022-03-17,14:22:00,,,Lending Facility Rate (Mar),4.25%,4.25%,4.25%
2022-03-17,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
2022-03-24,11:00:00,,,M2 Money Supply (YoY) (Feb),12.50%,,12.90%
2022-04-01,11:00:00,,,Core Inflation (YoY) (Mar),2.37%,2.33%,2.03%
2022-04-01,11:00:00,,,Inflation (YoY) (Mar),2.64%,2.56%,2.06%
2022-04-01,11:00:00,,,Inflation (MoM) (Mar),0.66%,0.61%,-0.02%
2022-04-07,11:00:00,,,FX Reserves (USD) (Mar),139.10B,,141.40B
2022-04-08,10:00:00,,,Consumer Confidence (Mar),111,,113.1
2022-04-11,11:00:00,,,Retail Sales (YoY) (Feb),12.90%,,15.20%
2022-04-13,11:00:00,,,Car Sales (YoY) (Mar),16.00%,,65.10%
2022-04-14,09:15:00,,,Motorbike Sales (YoY) (Mar),-13.60%,,-2.60%
2022-04-15,All Day,,,Indonesia - Good Friday,,,
2022-04-18,11:00:00,,,Export Growth (YoY) (Mar),44.36%,23.83%,34.19%
2022-04-18,11:00:00,,,Import Growth (YoY) (Mar),30.85%,18.30%,25.43%
2022-04-18,11:00:00,,,Trade Balance (Mar),4.53B,2.89B,3.82B
2022-04-19,14:00:00,,,Deposit Facility Rate (Apr),2.75%,2.75%,2.75%
2022-04-19,14:00:00,,,Lending Facility Rate (Apr),4.25%,4.25%,4.25%
2022-04-19,14:20:00,,,Loans (YoY) (Mar),6.65%,,6.33%
2022-04-19,14:30:00,,,Interest Rate Decision,3.50%,3.50%,3.50%
2022-04-22,11:00:00,,,M2 Money Supply (YoY) (Feb),13.30%,,12.80%
2022-04-27,11:00:00,,,Foreign Direct Investment (YoY) (Q1),31.80%,,10.10%
2022-04-29,All Day,,,Indonesia - Eid al-Fitr,,,
2022-05-02,All Day,,,Indonesia - Eid al-Fitr,,,
2022-05-03,All Day,,,Indonesia - Eid al-Fitr,,,
2022-05-04,All Day,,,Indonesia - Eid al-Fitr,,,
2022-05-05,All Day,,,Indonesia - Eid al-Fitr,,,
2022-05-06,All Day,,,Indonesia - Eid al-Fitr,,,
2022-05-09,11:00:00,,,Core Inflation (YoY) (Apr),2.60%,2.61%,2.37%
2022-05-09,11:00:00,,,Inflation (YoY) (Apr),3.47%,3.34%,2.64%
2022-05-09,11:00:00,,,Inflation (MoM) (Apr),0.95%,0.83%,0.66%
2022-05-09,11:15:00,,,GDP (YoY) (Q1),5.01%,5.00%,5.02%
2022-05-09,11:15:00,,,GDP (QoQ) (Q1),-0.96%,-0.89%,1.06%
2022-05-11,10:00:00,,,Consumer Confidence (Apr),113.1,,111
2022-05-12,10:02:00,,,Retail Sales (YoY) (Mar),9.30%,,12.90%
2022-05-13,11:00:00,,,FX Reserves (USD) (Apr),135.70B,,139.10B
2022-05-16,All Day,,,Indonesia - Vesak Day,,,
2022-05-17,11:00:00,,,Export Growth (YoY) (Apr),47.76%,35.97%,44.37%
2022-05-17,11:00:00,,,Import Growth (YoY) (Apr),21.97%,34.97%,30.85%
2022-05-17,11:00:00,,,Trade Balance (Apr),7.56B,3.25B,4.54B
2022-05-18,09:18:00,,,Motorbike Sales (YoY) (Apr),-7.10%,,-13.60%
2022-05-19,19:00:00,,,Car Sales (YoY),5.00%,,16.00%
2022-05-20,10:40:00,,,Balance of Payments (EUR) (Q1),-1.8B,,-0.8B
2022-05-20,10:40:00,,,Current Account % of GDP (Q1),0.10%,,0.40%
2022-05-24,14:21:00,,,Loans (YoY) (Apr),9.10%,,6.65%
2022-05-24,14:30:00,,,Interest Rate Decision,3.50%,3.50%,3.50%
2022-05-24,14:30:00,,,Deposit Facility Rate (May),2.75%,2.75%,2.75%
2022-05-24,14:30:00,,,Lending Facility Rate (May),4.25%,4.25%,4.25%
2022-05-26,All Day,,,Indonesia - Ascension Day,,,
2022-05-27,11:00:00,,,M2 Money Supply (YoY) (Apr),13.60%,,13.30%
2022-06-01,All Day,,,Indonesia - Pancasila Day,,,
2022-06-02,14:53:00,,,Core Inflation (YoY) (May),2.58%,2.70%,2.60%
2022-06-02,14:53:00,,,Inflation (YoY) (May),3.55%,3.60%,3.47%
2022-06-02,14:53:00,,,Inflation (MoM) (May),0.40%,0.41%,0.95%
2022-06-08,11:00:00,,,FX Reserves (USD) (May),135.60B,,135.70B
2022-06-09,10:00:00,,,Consumer Confidence (May),128.9,,113.1
2022-06-10,11:00:00,,,Retail Sales (YoY) (Apr),8.50%,,9.30%
2022-06-14,11:00:00,,,Car Sales (YoY) (May),51.20%,,5.03%
2022-06-15,11:00:00,,,Export Growth (YoY) (May),27.00%,38.69%,47.76%
2022-06-15,11:00:00,,,Import Growth (YoY) (May),30.74%,32.80%,21.97%
2022-06-15,11:00:00,,,Trade Balance (May),2.90B,3.83B,7.56B
2022-06-21,21:06:00,,,Motorbike Sales (YoY) (May),-2.54%,,-7.10%
2022-06-23,14:16:00,,,Loans (YoY) (May),9.03%,,9.10%
2022-06-23,14:21:00,,,Deposit Facility Rate (Jun),2.75%,2.75%,2.75%
2022-06-23,14:21:00,,,Lending Facility Rate (Jun),4.25%,4.25%,4.25%
2022-06-23,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
2022-06-24,14:30:00,,,Loans (YoY) (Jun),9.00%,,9.03%
2022-06-27,11:00:00,,,M2 Money Supply (YoY) (May),12.10%,,13.60%
2022-07-01,11:00:00,,,Core Inflation (YoY) (Jun),2.63%,2.72%,2.58%
2022-07-01,11:00:00,,,Inflation (YoY) (Jun),4.35%,4.17%,3.55%
2022-07-01,11:00:00,,,Inflation (MoM) (Jun),0.61%,0.44%,0.40%
2022-07-07,11:00:00,,,FX Reserves (USD) (Jun),136.40B,,135.60B
2022-07-08,10:00:00,,,Consumer Confidence (Jun),128.2,,128.9
2022-07-11,11:00:00,,,Retail Sales (YoY) (May),2.90%,,8.50%
2022-07-13,11:00:00,,,Car Sales (YoY) (Jun),8.90%,,51.20%
2022-07-15,10:44:00,,,Motorbike Sales (YoY) (Jun),-30.90%,,-2.50%
2022-07-15,11:00:00,,,Export Growth (YoY) (Jun),40.68%,30.26%,27.00%
2022-07-15,11:00:00,,,Import Growth (YoY) (Jun),21.98%,20.10%,30.74%
2022-07-15,11:00:00,,,Trade Balance (Jun),5.09B,3.52B,2.90B
2022-07-20,11:00:00,,,Foreign Direct Investment (YoY) (Q2),39.70%,,31.80%
2022-07-21,14:18:00,,,Loans (YoY) (Jun),10.66%,,9.03%
2022-07-21,14:23:00,,,Deposit Facility Rate (Jul),2.75%,2.75%,2.75%
2022-07-21,14:23:00,,,Lending Facility Rate (Jul),4.25%,4.25%,4.25%
2022-07-21,14:30:00,,,Interest Rate Decision,3.50%,3.50%,3.50%
2022-07-22,10:00:00,,,M2 Money Supply (YoY) (Jun),10.60%,,12.10%
2022-07-22,14:30:00,,,Loans (YoY),10.66%,,9.03%
2022-07-30,All Day,,,Indonesia - Islamic New Year (Hijri),,,
2022-08-01,11:00:00,,,Core Inflation (YoY) (Jul),2.86%,2.85%,2.63%
2022-08-01,11:00:00,,,Inflation (YoY) (Jul),4.94%,4.82%,4.35%
2022-08-01,11:00:00,,,Inflation (MoM) (Jul),0.64%,0.53%,0.61%
2022-08-05,09:13:00,,,GDP (QoQ) (Q2),3.72%,3.44%,-0.95%
2022-08-05,09:14:00,,,GDP (YoY) (Q2),5.44%,5.17%,5.01%
2022-08-05,11:00:00,,,FX Reserves (USD) (Jul),132.20B,,136.40B
2022-08-08,10:00:00,,,Consumer Confidence (Jul),123.2,,128.2
2022-08-09,11:00:00,,,Retail Sales (YoY) (Jun),4.10%,,2.90%
2022-08-11,11:00:00,,,Car Sales (YoY) (Jul),29.40%,,8.90%
2022-08-12,17:05:00,,,Motorbike Sales (YoY) (Jul),-13.30%,,-30.90%
2022-08-15,11:00:00,,,Export Growth (YoY) (Jul),32.03%,29.73%,40.99%
2022-08-15,11:00:00,,,Import Growth (YoY) (Jul),39.86%,37.30%,21.98%
2022-08-15,11:00:00,,,Trade Balance (Jul),4.22B,3.93B,5.09B
2022-08-17,All Day,,,Indonesia - Independence Day,,,
2022-08-19,11:00:00,,,Balance of Payments (EUR) (Q2),2.4B,,-1.8B
2022-08-19,11:00:00,,,Current Account % of GDP (Q2),1.10%,,0.10%
2022-08-23,14:15:00,,,Loans (YoY) (Jul),10.71%,,10.66%
2022-08-23,14:30:00,,,Interest Rate Decision,3.75%,3.50%,3.50%
2022-08-23,19:55:00,,,Deposit Facility Rate (Aug),3.00%,2.75%,2.75%
2022-08-23,19:55:00,,,Lending Facility Rate (Aug),4.50%,4.25%,4.25%
2022-08-24,10:00:00,,,M2 Money Supply (YoY) (Jul),9.60%,,10.60%
2022-09-01,11:00:00,,,Core Inflation (YoY) (Aug),3.04%,3.00%,2.86%
2022-09-01,11:00:00,,,Inflation (YoY) (Aug),4.69%,4.90%,4.94%
2022-09-01,11:00:00,,,Inflation (MoM) (Aug),-0.21%,-0.05%,0.64%
2022-09-07,11:00:00,,,FX Reserves (USD) (Aug),132.20B,,132.20B
2022-09-08,10:00:00,,,Consumer Confidence (Aug),124.7,,123.2
2022-09-09,11:00:00,,,Retail Sales (YoY) (Jul),6.20%,,4.10%
2022-09-12,13:19:00,,,Motorbike Sales (YoY) (Aug),11.60%,,-13.30%
2022-09-13,11:00:00,,,Car Sales (YoY) (Aug),16.40%,,29.40%
2022-09-15,11:00:00,,,Export Growth (YoY) (Aug),30.15%,19.19%,32.03%
2022-09-15,11:00:00,,,Import Growth (YoY) (Aug),32.81%,30.60%,39.86%
2022-09-15,11:00:00,,,Trade Balance (Aug),5.76B,4.09B,4.22B
2022-09-22,14:00:00,,,Deposit Facility Rate (Sep),3.50%,3.25%,3.00%
2022-09-22,14:00:00,,,Lending Facility Rate (Sep),5.00%,4.75%,4.50%
2022-09-22,14:16:00,,,Loans (YoY) (Aug),10.62%,,10.71%
2022-09-22,14:30:00,,,Interest Rate Decision,4.25%,,3.75%
2022-09-23,10:00:00,,,M2 Money Supply (YoY) (Aug),9.50%,,9.60%
2022-10-03,11:00:00,,,Core Inflation (YoY) (Sep),3.21%,3.60%,3.04%
2022-10-03,11:00:00,,,Inflation (YoY) (Sep),5.95%,6.00%,4.69%
2022-10-03,11:00:00,,,Inflation (MoM) (Sep),1.17%,1.26%,-0.21%
2022-10-07,10:00:00,,,FX Reserves (USD) (Sep),130.80B,,132.20B
2022-10-08,All Day,,,Indonesia - Prophet Mohammad's Birthday,,,
2022-10-10,10:00:00,,,Consumer Confidence (Sep),117.2,,124.7
2022-10-11,11:00:00,,,Retail Sales (YoY) (Jul),4.90%,,6.20%
2022-10-12,11:00:00,,,Motorbike Sales (YoY),10.70%,,11.60%
2022-10-13,16:56:00,,,Motorbike Sales (YoY) (Sep),10.70%,,11.60%
2022-10-14,13:00:00,,,Car Sales (YoY),18.90%,,16.40%
2022-10-17,11:00:00,,,Export Growth (YoY) (Sep),20.28%,27.91%,29.93%
2022-10-17,11:00:00,,,Import Growth (YoY) (Sep),22.02%,31.48%,32.81%
2022-10-17,11:00:00,,,Trade Balance (Sep),4.99B,4.84B,5.71B
2022-10-20,14:19:00,,,Loans (YoY) (Sep),11.00%,,10.62%
