-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.03%       2.286ms         0.21%      17.226ms      13.050us     308.72 MB       1.38 MB          1320  
                                       MseLossBackward0         0.03%       2.263ms         0.11%       9.266ms      21.060us      54.88 KB           0 B           440  
                                           aten::linear         0.03%       2.239ms         0.33%      27.176ms      50.325us      66.64 KB           0 B           540  
                              aten::_local_scalar_dense         0.02%       1.894ms         0.02%       1.894ms       0.205us           0 B           0 B          9260  
                                              aten::abs         0.02%       1.802ms         0.02%       1.802ms       4.096us           0 B           0 B           440  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.779ms         0.14%      11.045ms      25.102us      54.88 KB           0 B           440  
                                         SliceBackward0         0.02%       1.584ms         0.28%      22.938ms      26.066us     205.81 MB           0 B           880  
                                        SelectBackward0         0.02%       1.461ms         0.24%      19.841ms      45.093us     102.91 MB           0 B           440  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.455ms         0.30%      24.393ms      27.720us           0 B    -205.81 MB           880  
                                           AddBackward0         0.02%       1.327ms         0.02%       1.327ms       0.754us           0 B           0 B          1760  
                                aten::broadcast_tensors         0.02%       1.324ms         0.02%       1.324ms       3.010us           0 B           0 B           440  
                                           aten::expand         0.02%       1.313ms         0.02%       1.524ms       2.822us           0 B           0 B           540  
                                       aten::zeros_like         0.02%       1.279ms         0.03%       2.561ms       5.821us      54.88 KB           0 B           440  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%       1.234ms         0.05%       4.124ms       4.686us           0 B           0 B           880  
                                       SqueezeBackward1         0.01%       1.082ms         0.04%       2.889ms       3.283us           0 B           0 B           880  
                                       aten::contiguous         0.01%       1.031ms         1.01%      81.870ms     151.611us       3.09 GB           0 B           540  
                                            aten::zero_         0.01%       1.021ms         0.17%      14.026ms       7.969us           0 B           0 B          1760  
                                        aten::ones_like         0.01%     848.174us         0.02%       1.895ms       4.307us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     783.315us         0.25%      20.624ms      46.873us      99.48 MB      -3.43 MB           440  
        autograd::engine::evaluate_function: TBackward0         0.01%     756.582us         0.03%       2.157ms       4.902us           0 B           0 B           440  
                                     aten::resolve_conj         0.01%     516.495us         0.01%     516.495us       0.169us           0 B           0 B          3060  
                                             TBackward0         0.01%     466.577us         0.02%       1.400ms       3.183us           0 B           0 B           440  
                                         aten::randperm         0.01%     416.345us         0.01%     890.549us      22.264us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     160.407us         0.00%     160.407us       8.020us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      56.043us         0.00%      56.043us       2.802us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      27.356us         0.00%      27.356us       0.124us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.115s
