-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zero_         0.01%       1.084ms         0.18%      15.209ms       8.641us           0 B           0 B          1760  
                                       aten::contiguous         0.01%       1.061ms         1.03%      86.584ms     160.341us       3.09 GB           0 B           540  
                                        aten::ones_like         0.01%     881.390us         0.02%       1.977ms       4.493us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     865.484us         0.26%      21.420ms      48.683us      99.48 MB      -3.43 MB           440  
        autograd::engine::evaluate_function: TBackward0         0.01%     782.847us         0.03%       2.173ms       4.938us           0 B           0 B           440  
                                     aten::resolve_conj         0.01%     526.959us         0.01%     526.959us       0.172us           0 B           0 B          3060  
                                             TBackward0         0.01%     474.290us         0.02%       1.390ms       3.159us           0 B           0 B           440  
                                         aten::randperm         0.00%     418.199us         0.01%     901.752us      22.544us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     167.492us         0.00%     167.492us       8.375us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      56.934us         0.00%      56.934us       2.847us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      26.385us         0.00%      26.385us       0.120us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.375s
