Trading Date,Open,High,Low,Close,Adj Close,Volume
2022-02-09 00:00:00+07:00,5550,5650,5475,5550,3983,80244900
2022-02-10 00:00:00+07:00,5575,5625,5450,5450,3911,93265400
2022-02-11 00:00:00+07:00,5450,5475,5400,5450,3911,36376700
2022-02-14 00:00:00+07:00,5400,5425,5250,5300,3803,74307400
2022-02-15 00:00:00+07:00,5300,5525,5300,5500,3947,77964800
2022-02-16 00:00:00+07:00,5550,5600,5475,5475,3929,46730000
2022-02-17 00:00:00+07:00,5500,5525,5425,5475,3929,47572000
2022-02-18 00:00:00+07:00,5450,5625,5425,5600,4019,53981400
2022-02-21 00:00:00+07:00,5625,5650,5550,5575,4001,27509200
2022-02-22 00:00:00+07:00,5525,5575,5450,5575,4001,49233600
2022-02-23 00:00:00+07:00,5575,5650,5525,5650,4055,44299100
2022-02-24 00:00:00+07:00,5625,5775,5525,5700,4090,76492000
2022-02-25 00:00:00+07:00,5700,5800,5650,5800,4162,97598000
2022-03-01 00:00:00+07:00,5800,5950,5700,5700,4090,101227600
2022-03-02 00:00:00+07:00,5650,5700,5500,5525,3965,80565600
2022-03-04 00:00:00+07:00,5575,5675,5525,5625,4037,50348400
2022-03-07 00:00:00+07:00,5600,5825,5550,5800,4162,59978000
2022-03-08 00:00:00+07:00,6000,6550,5975,6250,4485,256655000
2022-03-09 00:00:00+07:00,6500,6500,6225,6300,4521,107853200
2022-03-10 00:00:00+07:00,6300,6300,6150,6250,4485,56584100
2022-03-11 00:00:00+07:00,6175,6300,6125,6275,4503,32940500
2022-03-14 00:00:00+07:00,6350,6425,6300,6375,4575,61811900
2022-03-15 00:00:00+07:00,6425,6450,6275,6300,4521,57193600
2022-03-16 00:00:00+07:00,6325,6400,6300,6400,4593,55776300
2022-03-17 00:00:00+07:00,6400,6475,6350,6425,4611,53844700
2022-03-18 00:00:00+07:00,6450,6450,6325,6400,4593,69493500
2022-03-21 00:00:00+07:00,6450,6600,6450,6600,4736,72452300
2022-03-22 00:00:00+07:00,6600,6600,6500,6575,4718,39260600
2022-03-23 00:00:00+07:00,6575,6575,6450,6475,4647,27348900
2022-03-24 00:00:00+07:00,6425,6575,6425,6575,4718,37635100
2022-03-25 00:00:00+07:00,6550,6575,6375,6400,4593,42984300
2022-03-28 00:00:00+07:00,6400,6775,6400,6700,4808,68545500
2022-03-29 00:00:00+07:00,6600,6700,6550,6550,4700,24901500
2022-03-30 00:00:00+07:00,6550,6650,6500,6650,4772,34320500
2022-03-31 00:00:00+07:00,6675,6675,6575,6575,4718,41346500
2022-04-01 00:00:00+07:00,6775,6775,6625,6700,4808,35365600
2022-04-04 00:00:00+07:00,6775,6825,6675,6825,4898,29374100
