-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           BmmBackward0         0.14%       8.980ms         3.81%     246.923ms      70.149us     232.82 MB           0 B          3520  
                               NativeLayerNormBackward0         0.13%       8.387ms         0.92%      59.645ms      19.365us      12.76 MB      -2.00 KB          3080  
                                           MulBackward0         0.13%       8.131ms         0.70%      45.537ms       6.468us     147.93 MB           0 B          7040  
                                 aten::split_with_sizes         0.12%       7.734ms         0.14%       9.151ms       4.236us           0 B           0 B          2160  
                                        aten::clamp_min         0.12%       7.693ms         0.12%       7.693ms       3.562us      19.78 MB      19.78 MB          2160  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         0.12%       7.642ms         5.61%     363.092ms     825.210us      -1.07 GB      -1.14 GB           440  
                                             aten::lstm         0.12%       7.625ms         5.07%     328.430ms     608.204us       1.10 GB     -11.76 MB           540  
                               aten::threshold_backward         0.12%       7.603ms         0.12%       7.603ms       4.320us      16.29 MB      16.29 MB          1760  
                                     TransposeBackward0         0.12%       7.550ms         0.50%      32.671ms       2.320us           0 B           0 B         14080  
                                       aten::lift_fresh         0.11%       7.424ms         0.11%       7.424ms       0.109us           0 B           0 B         68240  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.11%       7.199ms         0.49%      31.646ms       6.538us      51.45 MB           0 B          4840  
                                             TBackward0         0.11%       7.135ms         0.48%      30.770ms       2.498us           0 B           0 B         12320  
                                     aten::resolve_conj         0.10%       6.518ms         0.10%       6.518ms       0.061us           0 B           0 B        107260  
                                         aten::isneginf         0.10%       6.279ms         0.10%       6.279ms       3.568us       3.32 MB       3.32 MB          1760  
      autograd::engine::evaluate_function: MulBackward1         0.10%       6.159ms         0.82%      53.374ms      15.163us           0 B    -113.20 MB          3520  
                                       aten::layer_norm         0.09%       5.757ms         0.89%      57.464ms      15.202us      15.34 MB    -150.21 KB          3780  
                                             aten::relu         0.09%       5.637ms         0.21%      13.330ms       6.171us      19.78 MB           0 B          2160  
                     aten::scaled_dot_product_attention         0.08%       5.159ms         5.46%     353.607ms     163.707us     161.43 MB    -155.46 KB          2160  
                                   aten::_reshape_alias         0.08%       5.134ms         0.08%       5.134ms       1.459us           0 B           0 B          3520  
autograd::engine::evaluate_function: UnsqueezeBackwa...         0.08%       5.122ms         0.25%      16.476ms       5.349us      -3.13 MB      -3.13 MB          3080  
                                           aten::narrow         0.08%       4.934ms         0.19%      12.099ms       4.260us           0 B           0 B          2840  
      autograd::engine::evaluate_function: CatBackward0         0.07%       4.759ms         0.55%      35.446ms      40.279us    -100.59 MB    -153.75 MB           880  
                                         aten::mse_loss         0.07%       4.630ms         0.20%      12.831ms      29.160us      54.88 KB         128 B           440  
                                        SelectBackward0         0.07%       4.590ms         1.72%     111.600ms      23.058us     444.21 MB           0 B          4840  
                              aten::_local_scalar_dense         0.06%       4.133ms         0.06%       4.133ms       0.134us           0 B           0 B         30920  
autograd::engine::evaluate_function: SplitWithSizesB...         0.06%       3.916ms         0.21%      13.535ms       7.690us           0 B     -10.63 MB          1760  
                                    UnsafeViewBackward0         0.06%       3.906ms         0.38%      24.446ms       5.051us      51.45 MB           0 B          4840  
    autograd::engine::evaluate_function: CloneBackward0         0.06%       3.838ms         0.07%       4.645ms       1.760us           0 B           0 B          2640  
                                            MmBackward0         0.06%       3.813ms         0.45%      29.251ms      33.239us      56.61 MB           0 B           880  
autograd::engine::evaluate_function: SafeSoftmaxBack...         0.06%       3.790ms         0.27%      17.380ms       9.875us     -13.29 MB     -26.58 MB          1760  
                                          aten::softmax         0.06%       3.567ms         0.45%      29.172ms      10.272us      77.85 MB           0 B          2840  
                                        aten::unflatten         0.05%       3.461ms         0.10%       6.265ms       2.900us           0 B           0 B          2160  
       autograd::engine::evaluate_function: MmBackward0         0.05%       3.448ms         0.50%      32.699ms      37.158us     -48.02 MB    -104.62 MB           880  
                                MkldnnRnnLayerBackward0         0.05%       3.406ms         5.49%     355.451ms     807.842us      65.63 MB      -3.43 MB           440  
                                   SafeSoftmaxBackward0         0.05%       3.388ms         0.21%      13.590ms       7.721us      13.29 MB           0 B          1760  
                                aten::mse_loss_backward         0.05%       3.319ms         0.11%       6.909ms       7.851us      54.88 KB           0 B           880  
                                          ReluBackward0         0.05%       3.267ms         0.17%      10.870ms       6.176us      16.29 MB           0 B          1760  
autograd::engine::evaluate_function: SqueezeBackward...         0.05%       3.229ms         0.20%      12.861ms       5.846us           0 B           0 B          2200  
                                    aten::scalar_tensor         0.05%       3.227ms         0.05%       3.227ms       0.912us      13.90 KB      13.90 KB          3540  
     autograd::engine::evaluate_function: ReluBackward0         0.05%       3.183ms         0.22%      14.053ms       7.984us     -16.29 MB     -32.59 MB          1760  
                                   aten::slice_backward         0.05%       3.133ms         0.13%       8.506ms       9.666us       3.43 MB           0 B           880  
                                       SqueezeBackward1         0.05%       3.107ms         0.15%       9.632ms       4.378us           0 B           0 B          2200  
                                            aten::zero_         0.05%       3.092ms         0.67%      43.662ms       3.898us           0 B           0 B         11200  
                                          aten::resize_         0.05%       3.086ms         0.05%       3.086ms       0.867us       4.56 MB       4.56 MB          3560  
                                        ExpandBackward0         0.05%       2.939ms         0.09%       5.673ms       0.716us       1.72 MB           0 B          7920  
                                          aten::sigmoid         0.04%       2.726ms         0.04%       2.726ms       5.049us       2.08 MB       2.08 MB           540  
autograd::engine::evaluate_function: PermuteBackward...         0.04%       2.661ms         0.15%       9.991ms       5.677us           0 B           0 B          1760  
                                     UnsqueezeBackward0         0.04%       2.642ms         0.16%      10.219ms       3.318us           0 B           0 B          3080  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.04%       2.505ms         0.10%       6.519ms       3.704us           0 B           0 B          1760  
                                           MulBackward1         0.04%       2.487ms         0.73%      47.215ms      13.413us     113.20 MB      -3.77 KB          3520  
                                             aten::triu         0.04%       2.470ms         0.04%       2.470ms       2.287us       4.22 KB       4.22 KB          1080  
                                SplitWithSizesBackward0         0.04%       2.440ms         0.15%       9.619ms       5.465us      10.63 MB           0 B          1760  
                                       aten::contiguous         0.04%       2.372ms         1.25%      81.162ms      30.060us     324.87 MB           0 B          2700  
                                             aten::tril         0.04%       2.364ms         0.04%       2.364ms       2.686us         878 B         878 B           880  
                                       PermuteBackward0         0.03%       2.261ms         0.11%       7.330ms       4.165us           0 B           0 B          1760  
autograd::engine::evaluate_function: SoftmaxBackward...         0.03%       2.248ms         0.22%      14.249ms      16.193us     -53.17 MB    -106.34 MB           880  
                                           CatBackward0         0.03%       2.082ms         0.15%       9.991ms      11.354us           0 B           0 B           880  
                                               aten::eq         0.03%       2.052ms         0.03%       2.052ms       3.801us         540 B         540 B           540  
                                       aten::zeros_like         0.03%       2.046ms         0.07%       4.708ms       3.567us       3.48 MB           0 B          1320  
                                             aten::full         0.03%       2.034ms         0.05%       3.396ms       3.144us       4.22 KB           4 B          1080  
                                           AddBackward0         0.03%       2.019ms         0.03%       2.019ms       0.382us           0 B           0 B          5280  
                                       SoftmaxBackward0         0.03%       1.921ms         0.19%      12.001ms      13.638us      53.17 MB           0 B           880  
                                       aten::reciprocal         0.03%       1.742ms         0.03%       1.742ms       3.959us       1.72 KB       1.72 KB           440  
                                            aten::clamp         0.03%       1.737ms         0.03%       1.780ms       4.046us       1.72 KB       1.72 KB           440  
                                       MseLossBackward0         0.03%       1.721ms         0.11%       7.181ms      16.320us      54.88 KB           0 B           440  
                                             aten::ones         0.03%       1.696ms         0.05%       3.149ms       3.579us         880 B          11 B           880  
                                 aten::sigmoid_backward         0.03%       1.660ms         0.03%       1.660ms       3.772us       1.72 MB       1.72 MB           440  
                                             aten::mean         0.03%       1.631ms         0.12%       7.484ms      17.009us           0 B        -552 B           440  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.548ms         0.13%       8.729ms      19.838us      54.88 KB           0 B           440  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.481ms         0.18%      11.368ms      12.918us           0 B      -3.43 MB           880  
                                         SliceBackward0         0.02%       1.380ms         0.15%       9.886ms      11.234us       3.43 MB           0 B           880  
                                  ReshapeAliasBackward0         0.02%       1.282ms         0.06%       4.014ms       2.281us           0 B           0 B          1760  
                                aten::new_empty_strided         0.02%       1.215ms         0.03%       1.841ms       4.183us           0 B           0 B           440  
                                              aten::abs         0.02%       1.107ms         0.02%       1.107ms       2.515us           0 B           0 B           440  
                                       SigmoidBackward0         0.01%     958.409us         0.04%       2.618ms       5.950us       1.72 MB           0 B           440  
autograd::engine::evaluate_function: SigmoidBackward...         0.01%     913.412us         0.05%       3.532ms       8.026us      -1.72 MB      -3.43 MB           440  
                                aten::broadcast_tensors         0.01%     906.901us         0.01%     906.901us       2.061us           0 B           0 B           440  
                                        aten::ones_like         0.01%     826.636us         0.04%       2.656ms       6.037us       1.72 KB           0 B           440  
                                         CloneBackward0         0.01%     807.039us         0.01%     807.039us       0.306us           0 B           0 B          2640  
                                       aten::is_nonzero         0.01%     587.197us         0.02%       1.587ms       2.938us           0 B           0 B           540  
                                          aten::view_as         0.01%     543.996us         0.01%     882.440us       1.634us           0 B           0 B           540  
                                         aten::randperm         0.01%     409.983us         0.01%     856.397us      21.410us     219.53 KB        -160 B            40  
                              aten::cudnn_is_acceptable         0.01%     334.424us         0.01%     334.424us       0.619us           0 B           0 B           540  
                                          aten::random_         0.00%     144.793us         0.00%     144.793us       7.240us           0 B           0 B            20  
                                      aten::resolve_neg         0.00%      21.210us         0.00%      21.210us       0.096us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.477s
