calendar_date,us_gdp_qoq,days_since_us_gdp_qoq
2020-01-02,2.10%,28
2020-01-03,2.10%,27
2020-01-04,2.10%,26
2020-01-05,2.10%,25
2020-01-06,2.10%,24
2020-01-07,2.10%,23
2020-01-08,2.10%,22
2020-01-09,2.10%,21
2020-01-10,2.10%,20
2020-01-11,2.10%,19
2020-01-12,2.10%,18
2020-01-13,2.10%,17
2020-01-14,2.10%,16
2020-01-15,2.10%,15
2020-01-16,2.10%,14
2020-01-17,2.10%,13
2020-01-18,2.10%,12
2020-01-19,2.10%,11
2020-01-20,2.10%,10
2020-01-21,2.10%,9
2020-01-22,2.10%,8
2020-01-23,2.10%,7
2020-01-24,2.10%,6
2020-01-25,2.10%,5
2020-01-26,2.10%,4
2020-01-27,2.10%,3
2020-01-28,2.10%,2
2020-01-29,2.10%,1
2020-01-30,2.10%,0
2020-01-31,2.10%,1
2020-02-01,2.10%,2
2020-02-02,2.10%,3
2020-02-03,2.10%,4
2020-02-04,2.10%,5
2020-02-05,2.10%,6
2020-02-06,2.10%,7
2020-02-07,2.10%,8
2020-02-08,2.10%,9
2020-02-09,2.10%,10
2020-02-10,2.10%,11
2020-02-11,2.10%,12
2020-02-12,2.10%,13
2020-02-13,2.10%,14
2020-02-14,2.10%,15
2020-02-15,2.10%,16
2020-02-16,2.10%,17
2020-02-17,2.10%,18
2020-02-18,2.10%,19
2020-02-19,2.10%,20
2020-02-20,2.10%,21
2020-02-21,2.10%,22
2020-02-22,2.10%,23
2020-02-23,2.10%,24
2020-02-24,2.10%,25
2020-02-25,2.10%,26
2020-02-26,2.10%,27
2020-02-27,2.10%,0
2020-02-28,2.10%,1
2020-02-29,2.10%,2
2020-03-01,2.10%,3
2020-03-02,2.10%,4
2020-03-03,2.10%,5
2020-03-04,2.10%,6
2020-03-05,2.10%,7
2020-03-06,2.10%,8
2020-03-07,2.10%,9
2020-03-08,2.10%,10
2020-03-09,2.10%,11
2020-03-10,2.10%,12
2020-03-11,2.10%,13
2020-03-12,2.10%,14
2020-03-13,2.10%,15
2020-03-14,2.10%,16
2020-03-15,2.10%,17
2020-03-16,2.10%,18
2020-03-17,2.10%,19
2020-03-18,2.10%,20
2020-03-19,2.10%,21
2020-03-20,2.10%,22
2020-03-21,2.10%,23
2020-03-22,2.10%,24
2020-03-23,2.10%,25
2020-03-24,2.10%,26
2020-03-25,2.10%,27
2020-03-26,2.10%,0
2020-03-27,2.10%,1
2020-03-28,2.10%,2
2020-03-29,2.10%,3
2020-03-30,2.10%,4
2020-03-31,2.10%,5
2020-04-01,2.10%,6
2020-04-02,2.10%,7
2020-04-03,2.10%,8
2020-04-04,2.10%,9
2020-04-05,2.10%,10
2020-04-06,2.10%,11
2020-04-07,2.10%,12
2020-04-08,2.10%,13
2020-04-09,2.10%,14
2020-04-10,2.10%,15
2020-04-11,2.10%,16
2020-04-12,2.10%,17
2020-04-13,2.10%,18
2020-04-14,2.10%,19
2020-04-15,2.10%,20
2020-04-16,2.10%,21
2020-04-17,2.10%,22
2020-04-18,2.10%,23
2020-04-19,2.10%,24
2020-04-20,2.10%,25
2020-04-21,2.10%,26
2020-04-22,2.10%,27
2020-04-23,2.10%,28
2020-04-24,2.10%,29
2020-04-25,2.10%,30
2020-04-26,2.10%,31
2020-04-27,2.10%,32
2020-04-28,2.10%,33
2020-04-29,-4.80%,0
2020-04-30,-4.80%,1
2020-05-01,-4.80%,2
2020-05-02,-4.80%,3
2020-05-03,-4.80%,4
2020-05-04,-4.80%,5
2020-05-05,-4.80%,6
2020-05-06,-4.80%,7
2020-05-07,-4.80%,8
2020-05-08,-4.80%,9
2020-05-09,-4.80%,10
2020-05-10,-4.80%,11
2020-05-11,-4.80%,12
2020-05-12,-4.80%,13
2020-05-13,-4.80%,14
2020-05-14,-4.80%,15
2020-05-15,-4.80%,16
2020-05-16,-4.80%,17
2020-05-17,-4.80%,18
2020-05-18,-4.80%,19
2020-05-19,-4.80%,20
2020-05-20,-4.80%,21
2020-05-21,-4.80%,22
2020-05-22,-4.80%,23
2020-05-23,-4.80%,24
2020-05-24,-4.80%,25
2020-05-25,-4.80%,26
2020-05-26,-4.80%,27
2020-05-27,-4.80%,28
2020-05-28,-5.00%,0
2020-05-29,-5.00%,1
2020-05-30,-5.00%,2
2020-05-31,-5.00%,3
2020-06-01,-5.00%,4
2020-06-02,-5.00%,5
2020-06-03,-5.00%,6
2020-06-04,-5.00%,7
2020-06-05,-5.00%,8
2020-06-06,-5.00%,9
2020-06-07,-5.00%,10
2020-06-08,-5.00%,11
2020-06-09,-5.00%,12
2020-06-10,-5.00%,13
2020-06-11,-5.00%,14
2020-06-12,-5.00%,15
2020-06-13,-5.00%,16
2020-06-14,-5.00%,17
2020-06-15,-5.00%,18
2020-06-16,-5.00%,19
2020-06-17,-5.00%,20
2020-06-18,-5.00%,21
2020-06-19,-5.00%,22
2020-06-20,-5.00%,23
2020-06-21,-5.00%,24
2020-06-22,-5.00%,25
2020-06-23,-5.00%,26
2020-06-24,-5.00%,27
2020-06-25,-5.00%,0
2020-06-26,-5.00%,1
2020-06-27,-5.00%,2
2020-06-28,-5.00%,3
2020-06-29,-5.00%,4
2020-06-30,-5.00%,5
2020-07-01,-5.00%,6
2020-07-02,-5.00%,7
2020-07-03,-5.00%,8
2020-07-04,-5.00%,9
2020-07-05,-5.00%,10
2020-07-06,-5.00%,11
2020-07-07,-5.00%,12
2020-07-08,-5.00%,13
2020-07-09,-5.00%,14
2020-07-10,-5.00%,15
2020-07-11,-5.00%,16
2020-07-12,-5.00%,17
2020-07-13,-5.00%,18
2020-07-14,-5.00%,19
2020-07-15,-5.00%,20
2020-07-16,-5.00%,21
2020-07-17,-5.00%,22
2020-07-18,-5.00%,23
2020-07-19,-5.00%,24
2020-07-20,-5.00%,25
2020-07-21,-5.00%,26
2020-07-22,-5.00%,27
2020-07-23,-5.00%,28
2020-07-24,-5.00%,29
2020-07-25,-5.00%,30
2020-07-26,-5.00%,31
2020-07-27,-5.00%,32
2020-07-28,-5.00%,33
2020-07-29,-5.00%,34
2020-07-30,-32.90%,0
2020-07-31,-32.90%,1
2020-08-01,-32.90%,2
2020-08-02,-32.90%,3
2020-08-03,-32.90%,4
2020-08-04,-32.90%,5
2020-08-05,-32.90%,6
2020-08-06,-32.90%,7
2020-08-07,-32.90%,8
2020-08-08,-32.90%,9
2020-08-09,-32.90%,10
2020-08-10,-32.90%,11
2020-08-11,-32.90%,12
2020-08-12,-32.90%,13
2020-08-13,-32.90%,14
2020-08-14,-32.90%,15
2020-08-15,-32.90%,16
2020-08-16,-32.90%,17
2020-08-17,-32.90%,18
2020-08-18,-32.90%,19
2020-08-19,-32.90%,20
2020-08-20,-32.90%,21
2020-08-21,-32.90%,22
2020-08-22,-32.90%,23
2020-08-23,-32.90%,24
2020-08-24,-32.90%,25
2020-08-25,-32.90%,26
2020-08-26,-32.90%,27
2020-08-27,-31.70%,0
2020-08-28,-31.70%,1
2020-08-29,-31.70%,2
2020-08-30,-31.70%,3
2020-08-31,-31.70%,4
2020-09-01,-31.70%,5
2020-09-02,-31.70%,6
2020-09-03,-31.70%,7
2020-09-04,-31.70%,8
2020-09-05,-31.70%,9
2020-09-06,-31.70%,10
2020-09-07,-31.70%,11
2020-09-08,-31.70%,12
2020-09-09,-31.70%,13
2020-09-10,-31.70%,14
2020-09-11,-31.70%,15
2020-09-12,-31.70%,16
2020-09-13,-31.70%,17
2020-09-14,-31.70%,18
2020-09-15,-31.70%,19
2020-09-16,-31.70%,20
2020-09-17,-31.70%,21
2020-09-18,-31.70%,22
2020-09-19,-31.70%,23
2020-09-20,-31.70%,24
2020-09-21,-31.70%,25
2020-09-22,-31.70%,26
2020-09-23,-31.70%,27
2020-09-24,-31.70%,28
2020-09-25,-31.70%,29
2020-09-26,-31.70%,30
2020-09-27,-31.70%,31
2020-09-28,-31.70%,32
2020-09-29,-31.70%,33
2020-09-30,-31.40%,0
2020-10-01,-31.40%,1
2020-10-02,-31.40%,2
2020-10-03,-31.40%,3
2020-10-04,-31.40%,4
2020-10-05,-31.40%,5
2020-10-06,-31.40%,6
2020-10-07,-31.40%,7
2020-10-08,-31.40%,8
2020-10-09,-31.40%,9
2020-10-10,-31.40%,10
2020-10-11,-31.40%,11
2020-10-12,-31.40%,12
2020-10-13,-31.40%,13
2020-10-14,-31.40%,14
2020-10-15,-31.40%,15
2020-10-16,-31.40%,16
2020-10-17,-31.40%,17
2020-10-18,-31.40%,18
2020-10-19,-31.40%,19
2020-10-20,-31.40%,20
2020-10-21,-31.40%,21
2020-10-22,-31.40%,22
2020-10-23,-31.40%,23
2020-10-24,-31.40%,24
2020-10-25,-31.40%,25
2020-10-26,-31.40%,26
2020-10-27,-31.40%,27
2020-10-28,-31.40%,28
2020-10-29,33.10%,0
2020-10-30,33.10%,1
2020-10-31,33.10%,2
2020-11-01,33.10%,3
2020-11-02,33.10%,4
2020-11-03,33.10%,5
2020-11-04,33.10%,6
2020-11-05,33.10%,7
2020-11-06,33.10%,8
2020-11-07,33.10%,9
2020-11-08,33.10%,10
2020-11-09,33.10%,11
2020-11-10,33.10%,12
2020-11-11,33.10%,13
2020-11-12,33.10%,14
2020-11-13,33.10%,15
2020-11-14,33.10%,16
2020-11-15,33.10%,17
2020-11-16,33.10%,18
2020-11-17,33.10%,19
2020-11-18,33.10%,20
2020-11-19,33.10%,21
2020-11-20,33.10%,22
2020-11-21,33.10%,23
2020-11-22,33.10%,24
2020-11-23,33.10%,25
2020-11-24,33.10%,26
2020-11-25,33.10%,0
2020-11-26,33.10%,1
2020-11-27,33.10%,2
2020-11-28,33.10%,3
2020-11-29,33.10%,4
2020-11-30,33.10%,5
2020-12-01,33.10%,6
2020-12-02,33.10%,7
2020-12-03,33.10%,8
2020-12-04,33.10%,9
2020-12-05,33.10%,10
