calendar_date,ihsg_return_lag_1,ihsg_std_dev_7,ihsg_std_dev_14,ihsg_std_dev_21
2020-02-13,-0.085%,52.688,80.35,146.071
2020-02-14,-0.085%,52.688,80.35,146.071
2020-02-15,-0.085%,52.688,80.35,146.071
2020-02-16,0.017%,52.31,72.993,141.107
2020-02-17,0.324%,38.364,57.716,136.17
2020-02-18,0.713%,34.102,45.484,127.786
2020-02-19,0.219%,31.013,45.537,117.103
2020-02-20,-1.01%,30.533,45.68,103.179
2020-02-21,-1.01%,30.533,45.68,103.179
2020-02-22,-1.01%,30.533,45.68,103.179
2020-02-23,-1.275%,44.48,55.583,88.912
2020-02-24,-0.344%,57.648,62.397,85.771
2020-02-25,-1.693%,90.123,80.011,91.912
2020-02-26,-2.689%,144.714,115.593,113.683
2020-02-27,-1.499%,179.464,152.43,141.734
2020-02-28,-1.499%,179.464,152.43,141.734
2020-02-29,-1.499%,179.464,152.43,141.734
2020-03-01,-1.687%,197.448,188.455,177.181
2020-03-02,2.947%,170.683,194.915,189.307
2020-03-03,2.374%,146.5,192.611,190.888
2020-03-04,-0.212%,117.863,189.499,189.544
2020-03-05,-2.465%,101.041,191.568,193.463
2020-03-06,-2.465%,101.041,191.568,193.463
2020-03-07,-2.465%,101.041,191.568,193.463
2020-03-08,-6.583%,176.432,231.255,228.836
2020-03-09,1.635%,199.418,238.297,246.838
2020-03-10,-1.283%,225.383,239.294,264.546
2020-03-11,-5.006%,286.472,269.009,303.81
2020-03-12,0.245%,278.403,284.926,332.121
2020-03-13,0.245%,278.403,284.926,332.121
2020-03-14,0.245%,278.403,284.926,332.121
2020-03-15,-4.421%,264.106,316.068,373.268
2020-03-16,-4.988%,276.855,369.652,426.498
2020-03-17,-2.827%,334.775,426.974,475.584
2020-03-18,-5.218%,369.415,496.51,529.328
2020-03-19,2.192%,326.148,534.921,555.036
2020-03-20,2.192%,326.148,534.921,555.036
2020-03-21,2.192%,326.148,534.921,555.036
2020-03-22,-4.887%,328.061,566.551,589.009
2020-03-23,-1.303%,268.521,564.888,616.813
2020-03-24,-1.303%,268.521,564.888,616.813
2020-03-25,10.183%,193.234,507.258,606.146
2020-03-26,4.771%,215.142,441.818,586.374
2020-03-27,4.771%,215.142,441.818,586.374
2020-03-28,4.771%,215.142,441.818,586.374
2020-03-29,-2.904%,225.212,410.975,575.001
2020-03-30,2.832%,247.509,357.576,559.926
2020-03-31,-1.608%,253.102,297.809,547.99
2020-04-01,1.478%,215.902,266.905,519.838
2020-04-02,2.008%,94.888,233.023,471.834
2020-04-03,2.008%,94.888,233.023,471.834
2020-04-04,2.008%,94.888,233.023,471.834
2020-04-05,4.088%,128.469,247.668,416.397
2020-04-06,-0.686%,151.787,269.586,366.068
2020-04-07,-3.181%,129.111,275.252,343.11
2020-04-08,0.475%,123.406,265.31,308.154
2020-04-09,0.475%,123.406,265.31,308.154
2020-04-10,0.475%,123.406,265.31,308.154
2020-04-11,0.475%,123.406,265.31,308.154
2020-04-12,-0.538%,97.833,256.91,273.701
2020-04-13,1.773%,79.101,217.721,262.816
2020-04-14,-1.7%,78.693,131.287,247.075
2020-04-15,-3.134%,90.957,114.712,242.124
2020-04-16,3.437%,68.16,113.85,244.905
2020-04-17,3.437%,68.16,113.85,244.905
2020-04-18,3.437%,68.16,113.85,244.905
2020-04-19,-1.273%,70.127,99.997,243.577
2020-04-20,-1.617%,79.264,102.744,227.413
2020-04-21,1.466%,78.419,94.498,216.309
2020-04-22,0.569%,58.471,91.237,178.886
2020-04-23,-2.133%,57.939,97.918,112.287
2020-04-24,-2.133%,57.939,97.918,112.287
2020-04-25,-2.133%,57.939,97.918,112.287
2020-04-26,0.378%,52.575,84.411,99.473
2020-04-27,0.377%,39.168,68.053,99.856
2020-04-28,0.817%,37.912,66.777,92.002
2020-04-29,3.263%,73.286,74.364,94.907
2020-04-30,3.263%,73.286,74.364,94.907
2020-05-01,3.263%,73.286,74.364,94.907
2020-05-02,3.263%,73.286,74.364,94.907
2020-05-03,-2.354%,74.514,73.689,89.723
2020-05-04,0.543%,77.281,66.07,88.125
2020-05-05,-0.454%,68.18,65.196,88.093
2020-05-06,-0.454%,68.18,65.196,88.093
2020-05-07,-0.26%,57.798,59.747,75.195
2020-05-08,-0.26%,57.798,59.747,75.195
2020-05-09,-0.26%,57.798,59.747,75.195
2020-05-10,0.914%,47.056,60.033,64.044
2020-05-11,-1.078%,43.251,60.041,63.623
2020-05-12,-0.763%,27.98,56.161,62.811
2020-05-13,-0.878%,43.748,59.276,64.266
2020-05-14,-0.133%,49.246,62.353,59.711
2020-05-15,-0.133%,49.246,62.353,59.711
2020-05-16,-0.133%,49.246,62.353,59.711
2020-05-17,0.067%,51.152,60.982,59.953
2020-05-18,0.842%,48.325,58.782,56.754
2020-05-19,-0.066%,29.562,57.887,55.076
2020-05-20,-0.066%,29.562,57.887,55.076
2020-05-21,-0.066%,29.562,57.887,55.076
2020-05-22,-0.066%,29.562,57.887,55.076
2020-05-23,-0.066%,29.562,57.887,55.076
2020-05-24,-0.066%,29.562,57.887,55.076
2020-05-25,1.782%,41.438,58.982,56.583
2020-05-26,0.324%,55.79,48.804,56.453
2020-05-27,1.594%,77.882,60.736,64.078
2020-05-28,0.806%,91.378,74.764,74.123
2020-05-29,0.806%,91.378,74.764,74.123
2020-05-30,0.806%,91.378,74.764,74.123
2020-05-31,0.806%,91.378,74.764,74.123
2020-06-01,1.977%,110.677,100.593,89.714
2020-06-02,1.918%,136.162,132.964,112.756
2020-06-03,-0.486%,126.825,152.394,126.672
2020-06-04,0.63%,121.09,169.125,141.155
2020-06-05,0.63%,121.09,169.125,141.155
2020-06-06,0.63%,121.09,169.125,141.155
2020-06-07,2.486%,122.349,193.29,166.568
2020-06-08,-0.71%,107.407,200.422,182.354
2020-06-09,-2.264%,75.441,190.954,187.579
2020-06-10,-1.341%,73.824,174.009,188.243
2020-06-11,0.515%,79.214,157.178,188.547
2020-06-12,0.515%,79.214,157.178,188.547
2020-06-13,0.515%,79.214,157.178,188.547
2020-06-14,-1.311%,93.448,133.696,187.705
2020-06-15,3.53%,95.592,120.349,190.688
2020-06-16,0.04%,80.215,101.627,189.791
2020-06-17,-1.263%,64.507,85.775,180.981
2020-06-18,0.345%,65.575,71.206,169.324
2020-06-19,0.345%,65.575,71.206,169.324
2020-06-20,0.345%,65.575,71.206,169.324
2020-06-21,-0.465%,60.373,67.033,153.641
2020-06-22,-0.813%,60.491,68.902,137.463
2020-06-23,1.763%,39.484,69.162,117.932
2020-06-24,-1.37%,37.783,69.925,102.109
2020-06-25,0.143%,28.837,58.028,83.689
2020-06-26,0.143%,28.837,58.028,83.689
2020-06-27,0.143%,28.837,58.028,83.689
2020-06-28,-0.041%,29.308,48.213,71.032
2020-06-29,0.061%,26.959,48.193,60.367
2020-06-30,0.183%,26.751,45.355,57.771
2020-07-01,1.079%,30.485,46.019,58.316
2020-07-02,0.141%,32.709,36.367,58.989
2020-07-03,0.141%,32.709,36.367,58.989
2020-07-04,0.141%,32.709,36.367,58.989
2020-07-05,0.302%,38.379,36.708,60.177
2020-07-06,-0.04%,39.496,36.595,53.051
2020-07-07,1.785%,56.573,52.634,57.629
2020-07-08,-0.453%,54.478,60.095,63.195
2020-07-09,-0.435%,42.336,62.73,63.142
2020-07-10,-0.435%,42.336,62.73,63.142
2020-07-11,-0.435%,42.336,62.73,63.142
2020-07-12,0.656%,41.398,63.783,65.999
2020-07-13,0.296%,38.843,69.633,62.919
2020-07-14,-0.059%,33.395,69.343,67.073
2020-07-15,0.433%,21.443,69.281,72.377
2020-07-16,-0.353%,21.739,64.454,74.532
2020-07-17,-0.353%,21.739,64.454,74.532
2020-07-18,-0.353%,21.739,64.454,74.532
2020-07-19,-0.571%,21.991,55.435,75.126
2020-07-20,1.267%,21.062,48.268,77.865
2020-07-21,-0.098%,22.226,45.373,76.172
2020-07-22,0.685%,30.664,44.632,80.697
2020-07-23,-1.205%,29.994,38.452,76.643
2020-07-24,-1.205%,29.994,38.452,76.643
2020-07-25,-1.205%,29.994,38.452,76.643
2020-07-26,0.669%,30.9,30.473,73.336
2020-07-27,-0.078%,29.813,31.305,67.901
2020-07-28,0.724%,22.62,33.881,62.795
2020-07-29,0.0%,25.298,31.8,56.003
2020-07-30,0.0%,25.298,31.8,56.003
2020-07-31,0.0%,25.298,31.8,56.003
2020-08-01,0.0%,25.298,31.8,56.003
2020-08-02,-2.796%,51.677,39.907,52.915
2020-08-03,1.378%,50.337,40.068,47.741
2020-08-04,1.025%,50.731,40.252,44.173
2020-08-05,0.995%,57.797,45.113,42.611
2020-08-06,-0.657%,58.872,45.393,43.733
2020-08-07,-0.657%,58.872,45.393,43.733
2020-08-08,-0.657%,58.872,45.393,43.733
2020-08-09,0.272%,59.657,43.346,44.402
2020-08-10,0.62%,64.74,47.227,45.171
2020-08-11,0.829%,50.158,55.069,51.224
2020-08-12,0.115%,42.762,61.887,56.736
2020-08-13,0.172%,41.601,65.744,61.435
2020-08-14,0.172%,41.601,65.744,61.435
2020-08-15,0.172%,41.601,65.744,61.435
2020-08-16,0.172%,41.601,65.744,61.435
2020-08-17,0.896%,53.702,75.013,70.12
2020-08-18,-0.415%,46.86,78.629,73.967
2020-08-19,-0.415%,46.86,78.629,73.967
2020-08-20,-0.415%,46.86,78.629,73.967
2020-08-21,-0.415%,46.86,78.629,73.967
2020-08-22,-0.415%,46.86,78.629,73.967
2020-08-23,0.076%,34.865,82.607,74.913
2020-08-24,1.175%,37.036,91.386,83.204
2020-08-25,0.019%,40.202,80.107,89.299
2020-08-26,0.581%,44.506,77.171,97.509
2020-08-27,-0.447%,38.239,73.906,99.278
2020-08-28,-0.447%,38.239,73.906,99.278
2020-08-29,-0.447%,38.239,73.906,99.278
2020-08-30,-2.039%,49.059,70.481,97.217
2020-08-31,1.394%,46.014,62.321,96.545
2020-09-01,0.019%,42.649,52.827,96.868
2020-09-02,-0.584%,44.519,45.047,95.601
2020-09-03,-0.776%,50.531,44.361,79.599
2020-09-04,-0.776%,50.531,44.361,79.599
2020-09-05,-0.776%,50.531,44.361,79.599
2020-09-06,-0.191%,45.348,45.27,69.229
2020-09-07,0.268%,35.592,45.587,62.754
2020-09-08,-1.812%,56.601,59.577,64.96
2020-09-09,-5.011%,142.139,120.492,101.002
2020-09-10,2.576%,144.492,135.893,111.426
2020-09-11,2.576%,144.492,135.893,111.426
2020-09-12,2.576%,144.492,135.893,111.426
2020-09-13,2.89%,133.101,133.834,112.234
2020-09-14,-1.182%,124.626,133.111,116.261
2020-09-15,-0.843%,114.344,129.635,122.386
2020-09-16,-0.395%,92.107,126.07,128.819
2020-09-17,0.417%,83.388,126.875,131.748
2020-09-18,0.417%,83.388,126.875,131.748
2020-09-19,0.417%,83.388,126.875,131.748
2020-09-20,-1.186%,54.948,123.686,137.964
2020-09-21,-1.3%,72.446,121.484,147.225
2020-09-22,-0.324%,68.234,118.635,152.259
2020-09-23,-1.525%,82.423,123.332,160.359
2020-09-24,2.127%,74.933,113.707,155.242
2020-09-25,2.127%,74.933,113.707,155.242
2020-09-26,2.127%,74.933,113.707,155.242
2020-09-27,-0.789%,69.04,98.592,151.354
2020-09-28,-0.571%,49.78,93.828,153.985
2020-09-29,-0.184%,37.044,95.551,149.824
2020-09-30,2.053%,44.391,95.005,138.211
2020-10-01,-0.865%,44.967,79.358,127.917
2020-10-02,-0.865%,44.967,79.358,127.917
2020-10-03,-0.865%,44.967,79.358,127.917
2020-10-04,0.649%,38.837,68.349,117.856
2020-10-05,0.807%,48.202,62.805,105.968
2020-10-06,0.1%,54.031,59.56,89.261
2020-10-07,0.699%,55.766,56.76,81.92
2020-10-08,0.298%,44.786,62.581,81.067
2020-10-09,0.298%,44.786,62.581,81.067
2020-10-10,0.298%,44.786,62.581,81.067
2020-10-11,0.772%,56.73,73.62,84.207
2020-10-12,0.785%,59.432,86.07,81.411
2020-10-13,0.838%,66.256,93.086,88.032
2020-10-14,-1.372%,58.702,96.056,90.394
2020-10-15,-0.039%,46.159,94.439,93.086
2020-10-16,-0.039%,46.159,94.439,93.086
2020-10-17,-0.039%,46.159,94.439,93.086
2020-10-18,0.451%,37.822,88.512,96.44
2020-10-19,-0.507%,28.815,74.851,98.914
2020-10-20,-0.078%,28.375,71.162,99.493
2020-10-21,-0.078%,29.422,59.147,98.535
2020-10-22,0.393%,11.32,48.9,91.61
2020-10-23,0.393%,11.32,48.9,91.61
2020-10-24,0.393%,11.32,48.9,91.61
2020-10-25,0.626%,18.636,43.676,92.409
2020-10-26,-0.311%,19.356,34.726,88.743
2020-10-27,-0.311%,19.356,34.726,88.743
2020-10-28,-0.311%,19.356,34.726,88.743
2020-10-29,-0.311%,19.356,34.726,88.743
2020-10-30,-0.311%,19.356,34.726,88.743
2020-10-31,-0.311%,19.356,34.726,88.743
2020-11-01,-0.254%,18.653,28.651,80.16
2020-11-02,0.86%,24.511,25.711,69.245
2020-11-03,-1.047%,23.191,24.925,64.864
2020-11-04,3.036%,53.682,44.808,65.205
2020-11-05,1.445%,86.605,70.476,75.501
2020-11-06,1.445%,86.605,70.476,75.501
2020-11-07,1.445%,86.605,70.476,75.501
2020-11-08,0.375%,107.277,89.764,86.715
2020-11-09,1.998%,136.232,119.119,107.409
2020-11-10,0.86%,149.151,145.698,128.636
2020-11-11,-0.926%,140.469,155.616,138.86
2020-11-12,0.037%,90.013,160.457,147.797
2020-11-13,0.037%,90.013,160.457,147.797
2020-11-14,0.037%,90.013,160.457,147.797
2020-11-15,0.623%,67.241,163.296,158.349
2020-11-16,0.637%,56.326,165.836,170.325
2020-11-17,0.506%,38.466,168.368,179.452
2020-11-18,0.648%,49.651,166.625,188.135
2020-11-19,-0.393%,53.899,153.764,193.186
2020-11-20,-0.393%,53.899,153.764,193.186
2020-11-21,-0.393%,53.899,153.764,193.186
2020-11-22,1.454%,63.79,146.143,199.787
2020-11-23,0.849%,70.916,121.475,205.95
2020-11-24,-0.386%,65.388,109.84,205.943
2020-11-25,1.426%,74.251,111.795,209.228
2020-11-26,0.399%,78.733,111.132,211.945
2020-11-27,0.399%,78.733,111.132,211.945
2020-11-28,0.399%,78.733,111.132,211.945
2020-11-29,-2.957%,75.794,105.326,199.919
2020-11-30,2.014%,59.84,107.222,187.581
2020-12-01,1.555%,68.277,109.943,180.099
2020-12-02,0.155%,76.275,107.565,159.553
2020-12-03,-0.223%,74.202,102.262,149.52
2020-12-04,-0.223%,74.202,102.262,149.52
2020-12-05,-0.223%,74.202,102.262,149.52
2020-12-06,2.083%,98.114,110.793,152.448
2020-12-07,0.219%,114.887,116.504,153.062
2020-12-08,0.219%,114.887,116.504,153.062
2020-12-09,-0.168%,83.232,118.491,157.082
2020-12-10,0.067%,64.957,112.323,161.194
2020-12-11,0.067%,64.957,112.323,161.194
2020-12-12,0.067%,64.957,112.323,161.194
2020-12-13,1.263%,71.948,118.743,164.458
2020-12-14,-0.05%,67.412,123.722,163.19
2020-12-15,1.797%,68.918,134.618,169.835
2020-12-16,-0.082%,79.16,144.613,173.538
2020-12-17,-0.147%,80.022,150.359,174.233
2020-12-18,-0.147%,80.022,150.359,174.233
2020-12-19,-0.147%,80.022,150.359,174.233
2020-12-20,1.016%,80.297,134.999,178.58
2020-12-21,-2.319%,62.074,117.406,168.168
2020-12-22,-0.232%,62.788,107.122,161.057
2020-12-23,-0.232%,62.788,107.122,161.057
2020-12-24,-0.232%,62.788,107.122,161.057
2020-12-25,-0.232%,62.788,107.122,161.057
2020-12-26,-0.232%,62.788,107.122,161.057
2020-12-27,1.415%,55.302,97.632,158.958
2020-12-28,-0.952%,56.937,77.846,150.306
2020-12-29,-0.944%,65.094,74.072,144.613
2020-12-30,-0.944%,65.094,74.072,144.613
2020-12-31,-0.944%,65.094,74.072,144.613
2021-01-01,-0.944%,65.094,74.072,144.613
2021-01-02,-0.944%,65.094,74.072,144.613
2021-01-03,2.107%,65.211,71.415,142.928
2021-01-04,0.524%,57.766,67.456,122.192
2021-01-05,-1.157%,56.093,57.542,106.644
2021-01-06,1.451%,60.362,59.207,101.407
2021-01-07,1.69%,90.362,72.417,102.686
2021-01-08,1.69%,90.362,72.417,102.686
2021-01-09,1.69%,90.362,72.417,102.686
2021-01-10,1.997%,131.855,105.379,112.791
2021-01-11,0.204%,133.501,129.172,128.277
2021-01-12,0.61%,146.198,151.195,143.374
2021-01-13,-0.109%,146.34,167.338,151.999
2021-01-14,-0.856%,103.156,168.415,152.564
2021-01-15,-0.856%,103.156,168.415,152.564
2021-01-16,-0.856%,103.156,168.415,152.564
2021-01-17,0.267%,58.631,165.272,156.301
2021-01-18,-1.064%,37.563,161.933,154.162
2021-01-19,1.708%,40.294,156.536,161.27
2021-01-20,-0.249%,40.843,134.839,165.576
2021-01-21,-1.668%,49.665,121.796,164.145
2021-01-22,-1.668%,49.665,121.796,164.145
2021-01-23,-1.668%,49.665,121.796,164.145
2021-01-24,-0.761%,62.249,111.558,163.484
2021-01-25,-1.901%,101.703,99.171,157.682
2021-01-26,-0.505%,123.941,105.981,151.638
2021-01-27,-2.128%,166.461,141.266,159.369
2021-01-28,-1.957%,191.544,183.403,174.469
2021-01-29,-1.957%,191.544,183.403,174.469
2021-01-30,-1.957%,191.544,183.403,174.469
2021-01-31,3.514%,153.86,187.6,168.944
2021-02-01,-0.396%,125.331,187.228,171.859
2021-02-02,0.563%,93.461,181.045,174.026
2021-02-03,0.477%,88.264,175.153,172.278
2021-02-04,0.737%,95.453,164.337,172.326
2021-02-05,0.737%,95.453,164.337,172.326
2021-02-06,0.737%,95.453,164.337,172.326
2021-02-07,0.927%,109.006,158.558,172.33
2021-02-08,-0.435%,62.185,137.873,169.112
2021-02-09,0.324%,64.105,114.743,164.426
2021-02-10,0.339%,54.863,106.161,156.482
2021-02-11,0.339%,54.863,106.161,156.482
2021-02-12,0.339%,54.863,106.161,156.482
2021-02-13,0.339%,54.863,106.161,156.482
2021-02-14,0.755%,52.216,107.34,148.767
2021-02-15,0.351%,48.634,117.183,144.955
2021-02-16,-1.017%,38.781,120.063,138.056
2021-02-17,-0.45%,39.709,112.183,134.507
2021-02-18,0.516%,34.131,76.816,122.415
2021-02-19,0.516%,34.131,76.816,122.415
2021-02-20,0.516%,34.131,76.816,122.415
2021-02-21,0.369%,31.275,72.417,110.905
2021-02-22,0.288%,31.691,61.733,108.91
2021-02-23,-0.351%,30.483,50.059,108.56
2021-02-24,0.624%,30.0,41.529,112.07
2021-02-25,-0.763%,28.971,34.419,112.389
2021-02-26,-0.763%,28.971,34.419,112.389
2021-02-27,-0.763%,28.971,34.419,112.389
2021-02-28,1.554%,36.457,42.279,108.666
2021-03-01,0.316%,45.53,47.058,85.134
2021-03-02,0.283%,53.833,53.006,85.324
2021-03-03,-1.349%,52.494,51.089,74.97
2021-03-04,-0.509%,51.142,51.314,65.1
2021-03-05,-0.509%,51.142,51.314,65.1
2021-03-06,-0.509%,51.142,51.314,65.1
2021-03-07,-0.176%,55.87,51.718,56.391
2021-03-08,-0.768%,64.927,54.142,52.829
2021-03-09,1.048%,62.774,50.074,51.621
2021-03-10,1.048%,62.774,50.074,51.621
2021-03-11,1.484%,62.58,52.583,52.458
2021-03-12,1.484%,62.58,52.583,52.458
2021-03-13,1.484%,62.58,52.583,52.458
2021-03-14,-0.535%,51.96,52.666,51.384
2021-03-15,-0.221%,53.241,52.614,50.477
2021-03-16,-0.523%,52.455,51.433,50.437
2021-03-17,1.131%,54.851,53.247,52.565
2021-03-18,0.126%,37.668,52.441,53.382
2021-03-19,0.126%,37.668,52.441,53.382
2021-03-20,0.126%,37.668,52.441,53.382
2021-03-21,-0.865%,30.781,51.687,49.434
2021-03-22,-0.762%,36.912,50.961,48.336
2021-03-23,-1.551%,67.842,58.202,56.481
2021-03-24,-0.536%,89.962,71.883,67.136
2021-03-25,1.192%,92.457,74.538,69.449
2021-03-26,1.192%,92.457,74.538,69.449
2021-03-27,1.192%,92.457,74.538,69.449
2021-03-28,-0.468%,84.671,78.999,73.593
2021-03-29,-1.557%,77.561,92.8,85.741
2021-03-30,-1.4%,87.124,116.376,103.416
2021-03-31,0.418%,80.74,123.829,112.37
2021-04-01,0.418%,80.74,123.829,112.37
2021-04-02,0.418%,80.74,123.829,112.37
2021-04-03,0.418%,80.74,123.829,112.37
2021-04-04,-0.682%,89.877,133.562,120.927
2021-04-05,0.553%,90.605,135.823,127.76
2021-04-06,0.566%,67.02,134.848,131.684
2021-04-07,0.58%,40.012,121.852,133.303
2021-04-08,-0.033%,39.807,101.86,135.34
2021-04-09,-0.033%,39.807,101.86,135.34
2021-04-10,-0.033%,39.807,101.86,135.34
2021-04-11,-1.993%,47.067,91.667,142.114
2021-04-12,-0.37%,57.994,84.36,143.049
2021-04-13,2.075%,58.06,78.961,137.672
2021-04-14,0.496%,62.442,76.498,131.249
2021-04-15,0.099%,66.443,64.119,125.93
2021-04-16,0.099%,66.443,64.119,125.93
2021-04-17,0.099%,66.443,64.119,125.93
2021-04-18,-0.542%,64.976,52.064,113.331
2021-04-19,-0.248%,62.842,50.6,96.132
2021-04-20,-0.745%,55.626,50.232,82.662
2021-04-21,0.017%,37.162,50.779,71.182
2021-04-22,0.384%,38.06,48.508,67.094
2021-04-23,0.384%,38.06,48.508,67.094
2021-04-24,0.384%,38.06,48.508,67.094
2021-04-25,-0.864%,41.237,50.919,66.475
2021-04-26,-0.084%,35.107,53.46,57.197
2021-04-27,0.235%,28.348,52.268,47.757
2021-04-28,0.653%,22.494,49.476,45.975
2021-04-29,-0.283%,22.634,46.753,45.745
2021-04-30,-0.283%,22.634,46.753,45.745
2021-05-01,-0.283%,22.634,46.753,45.745
2021-05-02,-0.717%,26.005,43.593,47.542
2021-05-03,0.185%,21.664,43.928,47.809
2021-05-04,0.201%,21.212,38.994,48.345
2021-05-05,-0.1%,20.224,30.397,48.543
2021-05-06,-0.704%,27.796,28.926,48.74
2021-05-07,-0.704%,27.796,28.926,48.74
2021-05-08,-0.704%,27.796,28.926,48.74
2021-05-09,0.81%,21.342,23.924,46.029
2021-05-10,-0.636%,18.942,25.567,46.619
2021-05-11,-0.636%,18.942,25.567,46.619
2021-05-12,-0.636%,18.942,25.567,46.619
2021-05-13,-0.636%,18.942,25.567,46.619
2021-05-14,-0.636%,18.942,25.567,46.619
2021-05-15,-0.636%,18.942,25.567,46.619
2021-05-16,-1.751%,50.739,44.372,56.551
2021-05-17,0.0%,63.134,52.957,63.96
2021-05-18,-1.251%,82.097,72.551,75.425
2021-05-19,0.642%,80.434,80.573,78.078
2021-05-20,-0.431%,82.159,88.234,83.22
2021-05-21,-0.431%,82.159,88.234,83.22
2021-05-22,-0.431%,82.159,88.234,83.22
2021-05-23,-0.156%,62.476,90.537,87.775
2021-05-24,0.902%,31.783,87.097,89.195
2021-05-25,0.902%,31.783,87.097,89.195
2021-05-26,0.447%,33.43,84.715,88.584
2021-05-27,0.12%,36.446,80.315,85.715
2021-05-28,0.12%,36.446,80.315,85.715
2021-05-29,0.12%,36.446,80.315,85.715
2021-05-30,1.676%,61.855,77.454,85.113
2021-05-31,1.676%,61.855,77.454,85.113
2021-06-01,1.429%,96.883,85.614,89.077
2021-06-02,0.995%,120.942,104.273,97.209
2021-06-03,-0.443%,115.424,113.207,100.634
2021-06-04,-0.443%,115.424,113.207,100.634
2021-06-05,-0.443%,115.424,113.207,100.634
2021-06-06,0.082%,106.201,123.296,105.001
2021-06-07,-1.17%,85.447,125.276,106.339
2021-06-08,0.8%,49.261,129.127,109.716
2021-06-09,1.009%,36.788,129.929,116.671
2021-06-10,-0.213%,36.788,128.673,122.098
2021-06-11,-0.213%,36.788,128.673,122.098
2021-06-12,-0.213%,36.788,128.673,122.098
2021-06-13,-0.246%,35.748,119.405,126.294
2021-06-14,0.148%,36.741,103.417,130.291
2021-06-15,-0.164%,36.91,88.387,133.536
2021-06-16,-0.181%,19.659,70.63,133.035
2021-06-17,-1.005%,32.657,44.997,130.016
2021-06-18,-1.005%,32.657,44.997,130.016
2021-06-19,-1.005%,32.657,44.997,130.016
2021-06-20,-0.183%,40.396,37.118,120.872
2021-06-21,1.534%,39.435,36.994,115.27
2021-06-22,-0.871%,38.943,36.7,103.565
2021-06-23,-0.381%,37.504,38.712,87.197
2021-06-24,0.166%,33.813,39.421,73.658
2021-06-25,0.166%,33.813,39.421,73.658
2021-06-26,0.166%,33.813,39.421,73.658
2021-06-27,-1.378%,44.689,47.942,63.669
2021-06-28,0.168%,51.145,54.699,51.745
2021-06-29,0.605%,51.665,52.871,48.956
2021-06-30,0.351%,36.628,49.946,49.515
2021-07-01,0.283%,34.532,47.407,48.132
2021-07-02,0.283%,34.532,47.407,48.132
2021-07-03,0.283%,34.532,47.407,48.132
2021-07-04,-0.282%,33.99,43.3,48.094
2021-07-05,0.683%,38.875,40.431,47.479
2021-07-06,-0.05%,34.297,38.38,46.909
2021-07-07,-0.066%,23.501,39.098,46.841
2021-07-08,0.0%,17.719,39.333,43.73
2021-07-09,0.0%,17.719,39.333,43.73
2021-07-10,0.0%,17.719,39.333,43.73
2021-07-11,0.646%,22.475,38.136,42.686
2021-07-12,-1.102%,24.171,37.758,41.274
2021-07-13,-0.549%,31.288,38.942,39.965
2021-07-14,1.137%,31.288,39.985,38.245
2021-07-15,0.43%,34.52,36.54,38.571
2021-07-16,0.43%,34.52,36.54,38.571
2021-07-17,0.43%,34.52,36.54,38.571
2021-07-18,-0.922%,35.443,29.755,38.459
2021-07-19,-0.922%,35.443,29.755,38.459
2021-07-20,0.216%,35.423,27.006,38.072
2021-07-21,1.791%,51.38,38.12,43.542
