calendar_date,usd_idr
2021-05-14,14195.0
2021-05-15,14195.0
2021-05-16,14195.0
2021-05-17,14280.0
2021-05-18,14270.0
2021-05-19,14275.0
2021-05-20,14370.0
2021-05-21,14350.0
2021-05-22,14350.0
2021-05-23,14350.0
2021-05-24,14350.0
2021-05-25,14325.0
2021-05-26,14325.0
2021-05-27,14285.0
2021-05-28,14280.0
2021-05-29,14280.0
2021-05-30,14280.0
2021-05-31,14275.0
2021-06-01,14275.0
2021-06-02,14275.0
2021-06-03,14280.0
2021-06-04,14290.0
2021-06-05,14290.0
2021-06-06,14290.0
2021-06-07,14260.0
2021-06-08,14250.0
2021-06-09,14250.0
2021-06-10,14245.0
2021-06-11,14188.0
2021-06-12,14188.0
2021-06-13,14188.0
2021-06-14,14200.0
2021-06-15,14220.0
2021-06-16,14235.0
2021-06-17,14350.0
2021-06-18,14370.0
2021-06-19,14370.0
2021-06-20,14370.0
2021-06-21,14425.0
2021-06-22,14400.0
2021-06-23,14430.0
2021-06-24,14435.0
2021-06-25,14420.0
2021-06-26,14420.0
2021-06-27,14420.0
2021-06-28,14440.0
2021-06-29,14480.0
2021-06-30,14495.0
2021-07-01,14500.0
2021-07-02,14530.0
2021-07-03,14530.0
2021-07-04,14530.0
2021-07-05,14476.0
2021-07-06,14465.0
2021-07-07,14480.0
2021-07-08,14520.0
2021-07-09,14525.0
2021-07-10,14525.0
2021-07-11,14525.0
2021-07-12,14490.0
2021-07-13,14462.0
2021-07-14,14475.0
2021-07-15,14480.0
2021-07-16,14495.0
2021-07-17,14495.0
2021-07-18,14495.0
2021-07-19,14515.0
2021-07-20,14515.0
2021-07-21,14540.0
2021-07-22,14480.0
2021-07-23,14490.0
2021-07-24,14490.0
2021-07-25,14490.0
2021-07-26,14480.0
2021-07-27,14490.0
2021-07-28,14485.0
2021-07-29,14480.0
2021-07-30,14460.0
2021-07-31,14460.0
2021-08-01,14460.0
2021-08-02,14420.0
2021-08-03,14340.0
2021-08-04,14310.0
2021-08-05,14340.0
2021-08-06,14350.0
2021-08-07,14350.0
2021-08-08,14350.0
2021-08-09,14360.0
2021-08-10,14380.0
2021-08-11,14380.0
2021-08-12,14380.0
2021-08-13,14385.0
2021-08-14,14385.0
2021-08-15,14385.0
2021-08-16,14370.0
2021-08-17,14370.0
2021-08-18,14370.0
2021-08-19,14400.0
2021-08-20,14450.0
2021-08-21,14450.0
2021-08-22,14450.0
2021-08-23,14410.0
2021-08-24,14390.0
2021-08-25,14395.0
2021-08-26,14415.0
2021-08-27,14415.0
2021-08-28,14415.0
2021-08-29,14415.0
2021-08-30,14368.0
2021-08-31,14265.0
2021-09-01,14280.0
2021-09-02,14270.0
2021-09-03,14260.0
2021-09-04,14260.0
2021-09-05,14260.0
2021-09-06,14220.0
2021-09-07,14210.0
2021-09-08,14250.0
2021-09-09,14250.0
2021-09-10,14200.0
2021-09-11,14200.0
2021-09-12,14200.0
2021-09-13,14250.0
2021-09-14,14245.0
2021-09-15,14240.0
2021-09-16,14250.0
2021-09-17,14225.0
2021-09-18,14225.0
2021-09-19,14225.0
2021-09-20,14240.0
2021-09-21,14235.0
2021-09-22,14240.0
2021-09-23,14240.0
2021-09-24,14255.0
2021-09-25,14255.0
2021-09-26,14255.0
2021-09-27,14250.0
2021-09-28,14270.0
2021-09-29,14290.0
2021-09-30,14310.0
2021-10-01,14305.0
