Trading Date,Open,High,Low,Close,Volume,Bid Volume,Offer Volume,Foreign Sell,Foreign Buy
2021-11-18,8875,9175,8875,9075,9739300,334700,15700,3164100,2922100
2021-11-19,9150,9200,9000,9025,4570900,54800,400,2451100,1296300
2021-11-22,9025,9100,9000,9075,3401900,2200,446200,1183000,2518100
2021-11-23,9050,9050,8900,8950,5458400,647000,38500,1441200,3771500
2021-11-24,8975,9000,8950,9000,1648300,10600,47000,745800,890300
2021-11-25,9000,9025,8950,8950,1599300,1107900,53800,137300,938800
2021-11-26,8950,8975,8850,8875,5372700,493300,53400,3165600,3932000
2021-11-29,8875,8900,8800,8875,7196000,10300,32000,4415000,2863200
2021-11-30,9025,9050,8450,8450,12610000,9286700,281200,10563400,6530000
2021-12-01,8725,8950,8700,8925,15597800,2397300,57800,4676400,12816500
2021-12-02,8900,8975,8800,8850,2949200,24000,62200,1336200,1872000
2021-12-03,8825,8850,8675,8700,5921800,1635200,2600,1951600,3990200
2021-12-06,8725,8850,8700,8750,4168800,398000,1400,3025100,3199700
2021-12-07,8800,8800,8700,8750,4921400,436900,25700,1812100,3928200
2021-12-08,8750,8900,8750,8775,2751100,376000,4800,768500,791900
2021-12-09,8875,8950,8800,8950,2668700,100,257300,1423700,1557700
2021-12-10,8950,8975,8725,8850,4209200,1000,38100,990000,459400
2021-12-13,8950,8950,8750,8750,2949100,136600,32400,1947100,923400
2021-12-14,8750,8775,8700,8700,4739900,231300,1100,2115300,3042100
2021-12-15,8700,8800,8700,8800,2295800,5700,240200,864700,1439700
2021-12-16,8825,8825,8675,8750,3678900,2200,14100,1696200,2378400
2021-12-17,8725,8800,8700,8800,5451900,5600,74000,2276600,5002400
2021-12-20,8800,8825,8700,8825,2285700,2900,60800,720200,807700
2021-12-21,8775,8825,8700,8750,2317600,200300,5000,947300,487900
2021-12-22,8750,8775,8500,8675,6189900,74100,47700,2022900,3589000
2021-12-23,8700,8775,8650,8775,2797800,200,253500,980200,2252800
2021-12-24,8775,8800,8650,8725,2906000,7700,279900,281200,212600
2021-12-27,8725,8725,8625,8650,1290200,57300,2300,139400,268500
2021-12-28,8650,8750,8650,8700,3719600,48000,28100,1095700,2898500
2021-12-29,8700,8725,8650,8675,2009000,21100,46700,510700,1465400
2021-12-30,8675,8725,8600,8700,4302200,10100,56600,2227000,2138900
2022-01-03,8675,8725,8600,8625,2449700,7700,2100,501200,878500
2022-01-04,8650,8850,8625,8775,4450000,61800,45300,281200,2045400
2022-01-05,8750,8825,8675,8825,3133400,2300,108800,766500,1656800
2022-01-06,8825,8850,8725,8850,1984800,2900,70100,609300,468900
2022-01-07,8800,8950,8775,8875,6266500,125700,19000,545700,1978400
2022-01-10,8900,8975,8825,8850,3461300,45400,1200,941200,315400
2022-01-11,8850,8850,8650,8700,3692600,15000,22400,1587600,1426100
2022-01-12,8725,8825,8700,8750,2584900,76000,163100,471400,1814900
2022-01-13,8725,8825,8700,8775,2367700,3800,13200,1439100,1149200
2022-01-14,8775,8825,8725,8750,1865900,446200,18400,660000,264900
2022-01-17,8750,8800,8725,8775,3363800,2300,32100,2267000,1016900
2022-01-18,8775,8775,8700,8775,3038300,900,28900,759100,2598700
2022-01-19,8775,8775,8650,8750,2877200,800,140200,765000,1544800
2022-01-20,8725,8750,8525,8525,9525700,136300,15600,4693500,508300
2022-01-21,8550,8725,8550,8675,8287900,470100,32400,3464800,2034400
2022-01-24,8675,8725,8575,8600,2233500,52800,32300,539000,547300
2022-01-25,8600,8775,8600,8750,5194200,1200,154600,1241100,1074200
2022-01-26,8775,8825,8725,8750,3207700,85200,18100,1849900,787900
2022-01-27,8750,8800,8650,8700,1600000,8200,456600,405800,1008200
2022-01-28,8700,8800,8575,8675,3084800,4500,100,681300,900200
2022-01-31,8675,8750,8575,8725,11996000,138700,131500,7253500,1718200
2022-02-02,8725,8725,8600,8675,2102100,5100,110600,613800,948400
2022-02-03,8600,8600,8500,8500,4600200,332300,2000,369600,670100
2022-02-04,8525,8700,8475,8625,4939500,24300,208800,1367700,570300
2022-02-07,8625,8750,8600,8650,5159100,27600,12200,1094900,1837800
2022-02-08,8650,8750,8600,8625,4900000,174200,100,1065700,1970100
2022-02-09,8625,8725,8625,8675,6006500,22300,186500,354900,1907900
2022-02-10,8675,8725,8625,8625,5007100,264600,91700,1202800,3725200
2022-02-11,8625,8675,8550,8650,6545700,3000,279400,886500,5735900
2022-02-14,8575,8650,8525,8550,3905100,93400,1800,415100,512200
2022-02-15,8550,8625,8350,8550,11049400,3200,84500,4024600,919500
2022-02-16,8550,8600,8475,8500,7178700,1605400,1100,3582700,4655300
2022-02-17,8525,8575,8500,8525,5767000,215500,192900,2550400,4918400
2022-02-18,8525,8650,8525,8525,9210400,104300,500,4078400,3928300
2022-02-21,8525,8575,8500,8500,7714500,266500,1800,1558700,968900
2022-02-22,8525,8525,8400,8525,7311200,700,49800,1713900,3166700
2022-02-23,8525,8725,8475,8700,7812000,8400,193700,2134100,5137400
2022-02-24,8675,8700,8450,8525,10974000,58800,55900,2500500,2922300
2022-02-25,8525,8650,8475,8500,10382300,4364400,23500,5685200,5282000
2022-03-01,8500,8525,8150,8250,21470900,293900,1510700,9524900,10524400
2022-03-02,8100,8225,7900,7925,28428600,374700,48700,8545900,12193900
2022-03-04,7900,7950,7750,7825,24282500,16700,1018800,5078100,13997400
2022-03-07,7800,7800,7375,7400,25237400,324000,14700,6636700,6538700
2022-03-08,7400,7600,7400,7600,21825800,16000,53700,12772900,9346000
2022-03-09,7650,7750,7550,7625,11438800,61100,184400,8012600,2226000
2022-03-10,7775,7800,7650,7750,8712200,77900,96300,5611100,1981800
2022-03-11,7750,7775,7550,7550,8055000,1315300,12500,6584300,912600
2022-03-14,7575,7600,7500,7525,6353200,302900,26500,4396000,1214000
2022-03-15,7525,7600,7375,7425,15064300,44100,85100,6660200,4675600
2022-03-16,7425,7650,7425,7625,7742600,46300,131500,3502300,1949200
2022-03-17,7650,7700,7475,7575,6832200,700,99600,5132800,2733000
2022-03-18,7600,7600,7450,7575,8157900,400,253000,6455100,4715100
2022-03-21,7600,7600,7450,7450,4030800,574500,4900,3258900,380400
2022-03-22,7475,7600,7475,7475,4588300,1506800,200,3523300,1019400
2022-03-23,7475,7550,7475,7500,3310700,383200,76100,873500,1558100
2022-03-24,7525,7550,7500,7550,3315100,22500,298700,1387300,1092800
2022-03-25,7550,7550,7200,7250,28613700,565300,1009600,7711900,5245500
2022-03-28,7250,7400,7200,7275,13828500,34500,336200,4113300,3992700
2022-03-29,7300,7400,7250,7300,9243600,81300,589800,1700900,2300900
2022-03-30,7350,7475,7325,7375,9768800,158700,589900,1678100,2094100
2022-03-31,7400,7450,7300,7350,6875300,142100,11100,1238600,1646900
2022-04-01,7350,7550,7350,7525,14229300,178300,121900,832100,4593200
2022-04-04,7550,7650,7550,7550,9542200,212400,54500,2178100,1835200
2022-04-05,7550,7600,7500,7575,6290300,28700,21700,940100,2030100
2022-04-06,7575,7600,7325,7400,14545900,69800,723500,4222700,1510500
2022-04-07,7400,7600,7375,7575,11142300,346400,41600,2072100,4431200
2022-04-08,7575,7600,7425,7450,4565300,237200,34200,1365500,897000
2022-04-11,7450,7525,7375,7525,4994400,400,146000,800400,2317900
2022-04-12,7500,7500,7325,7400,4546800,800,29000,2606400,705100
2022-04-13,7400,7425,7300,7325,8990800,225600,28300,2254200,3772300
2022-04-14,7300,7325,7150,7175,10581800,299500,130000,2682500,788100
2022-04-18,7175,7225,7050,7100,7820300,30600,281000,981400,1526500
2022-04-19,7125,7250,7100,7175,8334300,224300,117100,2665500,3750800
2022-04-20,7200,7400,7200,7325,7752700,73600,25000,1409500,2120000
2022-04-21,7325,7475,7325,7425,8557700,180700,428400,2841900,4515300
2022-04-22,7425,7450,7250,7300,6678100,17200,68200,1222800,2754800
2022-04-25,7300,7450,7275,7425,7140000,323800,10000,1569800,1761000
2022-04-26,7450,7600,7350,7575,11541600,27100,63100,1918000,4932600
2022-04-27,7575,7600,7450,7600,7890200,6400,487300,2624300,3054800
2022-04-28,7600,7650,7525,7625,7891500,274300,1110200,1582900,3750300
2022-05-09,7550,7575,7400,7400,9648400,136300,35100,3858300,3829600
2022-05-10,7300,8000,7200,7975,24691800,140500,1559800,4359600,3946100
2022-05-11,7950,8350,7775,8300,21331500,6900,661900,1079300,483100
2022-05-12,8300,8325,7950,8025,16279900,396700,48400,4918000,4628700
2022-05-13,8000,8275,7875,8175,11232900,24600,10600,4426900,4262400
2022-05-17,7950,7950,7750,7825,11289000,81100,127200,1853900,3447500
2022-05-18,7875,8250,7825,8100,13474300,3157200,13100,3657500,1593400
2022-05-19,8000,8225,7875,7975,10620900,579900,31900,3304100,3471700
2022-05-20,8000,8100,8000,8050,5593000,25200,8000,1430900,2820200
2022-05-23,8075,8100,7925,7975,5300800,10300,197100,224700,3354800
2022-05-24,8050,8175,7975,8150,6395400,2700,73900,955200,1311700
2022-05-25,8150,8250,8150,8250,6948800,7300,751800,1095800,2982900
2022-05-27,8300,8650,8275,8625,14411000,4400,526300,1375000,4260800
2022-05-30,8625,8650,8500,8550,5869400,107700,173800,2090900,752300
2022-05-31,8550,8575,8450,8575,8505500,6600,123700,4617100,6451500
2022-06-02,8750,8800,8450,8550,8258900,1500,42200,2574400,2455600
2022-06-03,8550,8650,8525,8575,4816900,438800,20300,783700,1636400
2022-06-06,8575,8675,8550,8650,4912400,4900,272200,377000,1991500
2022-06-07,8675,8700,8575,8575,5391500,231100,15700,2676500,3029100
2022-06-08,8600,8675,8575,8575,4854600,437200,300800,2781500,3282100
2022-06-09,8575,8650,8550,8625,6835000,1300,45700,2958900,5346100
2022-06-10,8550,8600,8500,8500,6748700,856400,22300,2819800,5212300
2022-06-13,8375,8625,8200,8600,9404100,198100,100100,3076200,5831400
2022-06-14,8600,8650,8450,8650,5273000,800,592800,2447400,2540200
2022-06-15,8600,8625,8475,8600,2774400,3300,79700,1327500,763600
2022-06-16,8675,8700,8650,8675,6615900,800,44000,1284100,2958900
2022-06-17,8625,8650,8550,8550,15529900,1141900,900,13920900,12989500
2022-06-20,8650,8975,8600,8975,18639200,235900,579800,2945500,2698100
2022-06-21,9000,9200,9000,9150,18588800,256500,26500,3376200,3106500
2022-06-22,9150,9225,8950,9225,12168500,800,735800,4328100,6052100
2022-06-23,9225,9350,9175,9325,14035700,18100,299800,3484200,4993800
2022-06-24,9350,9450,9300,9425,14596100,24800,152700,2210700,3714800
2022-06-27,9425,9500,9375,9500,12022200,13300,1962200,1085700,645300
2022-06-28,9500,9525,9450,9500,13428700,12400,1391900,1240900,4641200
2022-06-29,9600,9625,9400,9450,6832900,4700,13900,2708000,2844300
2022-06-30,9450,9575,9450,9550,14236800,900,1599300,1882800,9173500
2022-07-01,9550,9550,9275,9350,6160300,3000,15600,1501700,2709700
2022-07-04,9350,9350,8975,9225,8105800,100,82700,721200,4817300
2022-07-05,9250,9350,9150,9175,4827900,105100,4200,1684600,2803600
2022-07-06,9175,9450,9175,9450,8890700,112400,254900,2887700,4326900
2022-07-07,9475,9500,9375,9475,8219500,24300,2956500,2994500,2251900
2022-07-08,9500,9500,9250,9425,4717000,5100,341900,1760600,1436300
2022-07-11,9400,9450,9300,9450,2464400,6200,449400,896100,727900
2022-07-12,9450,9500,9325,9325,4425700,95700,100,1812100,1875600
