[train_close][LSTM efficiency] Running on device: cpu
[train_close][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 080 | train=0.000727 | val=RMSE:336.84|MAE:279.22|MAPE:5.70% | epoch_time=0.64s
[efficiency_close] Epoch 081 | train=0.000790 | val=RMSE:337.92|MAE:277.62|MAPE:5.65% | epoch_time=0.63s
[efficiency_close] Epoch 082 | train=0.000730 | val=RMSE:334.75|MAE:277.21|MAPE:5.61% | epoch_time=0.63s
[efficiency_close] Epoch 083 | train=0.000789 | val=RMSE:364.04|MAE:299.96|MAPE:6.12% | epoch_time=0.61s
[efficiency_close] Epoch 084 | train=0.000799 | val=RMSE:323.15|MAE:264.98|MAPE:5.40% | epoch_time=0.63s
[efficiency_close] Epoch 085 | train=0.000761 | val=RMSE:369.64|MAE:313.50|MAPE:6.42% | epoch_time=0.63s
[efficiency_close] Epoch 086 | train=0.000711 | val=RMSE:373.99|MAE:316.10|MAPE:6.50% | epoch_time=0.63s
[efficiency_close] Epoch 087 | train=0.000714 | val=RMSE:378.23|MAE:321.38|MAPE:6.60% | epoch_time=0.62s
[efficiency_close] Epoch 088 | train=0.000728 | val=RMSE:388.16|MAE:328.80|MAPE:6.74% | epoch_time=0.63s
[efficiency_close] Epoch 089 | train=0.000748 | val=RMSE:391.82|MAE:330.33|MAPE:6.75% | epoch_time=0.64s
[efficiency_close] Epoch 090 | train=0.000773 | val=RMSE:369.81|MAE:312.84|MAPE:6.41% | epoch_time=0.62s
[efficiency_close] Epoch 091 | train=0.000633 | val=RMSE:413.63|MAE:355.39|MAPE:7.30% | epoch_time=0.63s
[efficiency_close] Epoch 092 | train=0.000778 | val=RMSE:372.38|MAE:313.21|MAPE:6.42% | epoch_time=0.62s
[efficiency_close] Epoch 093 | train=0.000665 | val=RMSE:402.78|MAE:341.50|MAPE:6.98% | epoch_time=0.62s
[efficiency_close] Epoch 094 | train=0.000689 | val=RMSE:439.84|MAE:379.96|MAPE:7.75% | epoch_time=0.62s
[efficiency_close] Epoch 095 | train=0.000773 | val=RMSE:474.81|MAE:421.15|MAPE:8.61% | epoch_time=0.62s
[efficiency_close] Epoch 096 | train=0.000753 | val=RMSE:399.92|MAE:336.03|MAPE:6.88% | epoch_time=0.61s
[efficiency_close] Epoch 097 | train=0.000709 | val=RMSE:397.94|MAE:333.96|MAPE:6.82% | epoch_time=0.64s
[efficiency_close] Epoch 098 | train=0.000728 | val=RMSE:387.44|MAE:324.14|MAPE:6.59% | epoch_time=0.65s
[efficiency_close] Epoch 099 | train=0.000696 | val=RMSE:431.89|MAE:370.18|MAPE:7.57% | epoch_time=0.66s
[efficiency_close] Epoch 100 | train=0.000652 | val=RMSE:409.58|MAE:350.36|MAPE:7.17% | epoch_time=0.64s
Saved loss curves: ASII_close_training_loss_curve.png, ASII_close_validation_rmse_curve.png
================================================================================
Run timestamp: 2025-11-11 02:06:09
Ticker: ASII
[efficiency_close] Done. Total elapsed: 88.69s
[efficiency_close] Test RMSE=440.34 MAE=370.16 MAPE=7.68%
[train_close][LSTM efficiency] Done on device: cpu
[save_metrics] Final metrics in: /home/ubuntu/skripsi_2602214545/lstm/efficiency/results/metrics
[save_metrics] Files: ASII_close_val_metrics.(json|txt), ASII_close_test_metrics.(json|txt)
================================================================================

