-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: SqueezeBackward...         0.05%       3.123ms         0.19%      12.627ms       5.740us           0 B           0 B          2200  
                                   aten::slice_backward         0.05%       3.104ms         0.13%       8.709ms       9.896us       3.43 MB           0 B           880  
                                            aten::zero_         0.05%       3.083ms         0.68%      44.182ms       3.945us           0 B           0 B         11200  
                                       SqueezeBackward1         0.05%       3.081ms         0.15%       9.504ms       4.320us           0 B           0 B          2200  
                                          aten::resize_         0.05%       3.073ms         0.05%       3.073ms       0.863us       4.57 MB       4.57 MB          3560  
                                        ExpandBackward0         0.04%       2.908ms         0.09%       5.551ms       0.701us       1.72 MB           0 B          7920  
                                     UnsqueezeBackward0         0.04%       2.756ms         0.16%      10.226ms       3.320us           0 B           0 B          3080  
                                          aten::sigmoid         0.04%       2.723ms         0.04%       2.723ms       5.043us       2.08 MB       2.08 MB           540  
autograd::engine::evaluate_function: PermuteBackward...         0.04%       2.599ms         0.15%      10.022ms       5.694us           0 B           0 B          1760  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.04%       2.463ms         0.10%       6.335ms       3.599us           0 B           0 B          1760  
                                           MulBackward1         0.04%       2.429ms         0.72%      46.839ms      13.307us     113.20 MB      -3.78 KB          3520  
                                       aten::contiguous         0.04%       2.423ms         1.25%      81.142ms      30.052us     324.87 MB           0 B          2700  
                                SplitWithSizesBackward0         0.04%       2.380ms         0.14%       9.110ms       5.176us      10.63 MB           0 B          1760  
                                       PermuteBackward0         0.04%       2.321ms         0.11%       7.423ms       4.217us           0 B           0 B          1760  
                                             aten::triu         0.03%       2.260ms         0.03%       2.260ms       2.093us       4.22 KB       4.22 KB          1080  
autograd::engine::evaluate_function: SoftmaxBackward...         0.03%       2.215ms         0.22%      14.484ms      16.459us     -53.17 MB    -106.34 MB           880  
