-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.11%       7.208ms         0.48%      31.668ms       6.543us      51.45 MB           0 B          4840  
                                             TBackward0         0.11%       7.127ms         0.47%      31.141ms       2.528us           0 B           0 B         12320  
                                       aten::lift_fresh         0.11%       6.938ms         0.11%       6.938ms       0.102us           0 B           0 B         68240  
                                     aten::resolve_conj         0.10%       6.542ms         0.10%       6.542ms       0.062us           0 B           0 B        105300  
                                         aten::isneginf         0.10%       6.416ms         0.10%       6.416ms       3.646us       3.32 MB       3.32 MB          1760  
      autograd::engine::evaluate_function: MulBackward1         0.09%       6.258ms         0.82%      54.088ms      15.366us           0 B    -113.20 MB          3520  
                                             aten::relu         0.09%       5.910ms         0.21%      13.753ms       6.367us      19.78 MB           0 B          2160  
                                       aten::layer_norm         0.08%       5.532ms         0.89%      58.473ms      15.469us      15.34 MB    -151.52 KB          3780  
                     aten::scaled_dot_product_attention         0.08%       5.406ms         5.42%     358.233ms     165.848us     161.44 MB    -150.49 KB          2160  
autograd::engine::evaluate_function: UnsqueezeBackwa...         0.08%       5.211ms         0.25%      16.542ms       5.371us      -3.16 MB      -3.16 MB          3080  
                                   aten::_reshape_alias         0.08%       5.136ms         0.08%       5.136ms       1.459us           0 B           0 B          3520  
                                         aten::mse_loss         0.07%       4.825ms         0.20%      13.435ms      30.535us      54.88 KB         128 B           440  
                                           aten::narrow         0.07%       4.794ms         0.18%      12.013ms       4.230us           0 B           0 B          2840  
      autograd::engine::evaluate_function: CatBackward0         0.07%       4.742ms         0.54%      35.367ms      40.190us     -99.44 MB    -152.61 MB           880  
                                        SelectBackward0         0.07%       4.522ms         1.73%     114.060ms      23.566us     444.21 MB           0 B          4840  
autograd::engine::evaluate_function: SplitWithSizesB...         0.06%       4.049ms         0.21%      13.933ms       7.916us           0 B     -10.63 MB          1760  
                              aten::_local_scalar_dense         0.06%       4.020ms         0.06%       4.020ms       0.130us           0 B           0 B         30920  
                                            MmBackward0         0.06%       3.947ms         0.46%      30.151ms      34.262us      56.61 MB           0 B           880  
                                    UnsafeViewBackward0         0.06%       3.897ms         0.37%      24.460ms       5.054us      51.45 MB           0 B          4840  
    autograd::engine::evaluate_function: CloneBackward0         0.06%       3.844ms         0.07%       4.685ms       1.775us           0 B           0 B          2640  
autograd::engine::evaluate_function: SafeSoftmaxBack...         0.06%       3.772ms         0.40%      26.700ms      15.170us     -13.29 MB     -26.58 MB          1760  
                                aten::mse_loss_backward         0.05%       3.613ms         0.11%       7.390ms       8.398us      54.88 KB           0 B           880  
                                        aten::unflatten         0.05%       3.520ms         0.10%       6.325ms       2.928us           0 B           0 B          2160  
                                MkldnnRnnLayerBackward0         0.05%       3.505ms         5.55%     366.976ms     834.036us      65.63 MB      -3.43 MB           440  
       autograd::engine::evaluate_function: MmBackward0         0.05%       3.404ms         0.51%      33.555ms      38.131us     -48.02 MB    -104.62 MB           880  
                                          aten::softmax         0.05%       3.368ms         0.45%      29.553ms      10.406us      77.85 MB           0 B          2840  
                                    aten::scalar_tensor         0.05%       3.362ms         0.05%       3.362ms       0.950us      13.89 KB      13.89 KB          3540  
autograd::engine::evaluate_function: SqueezeBackward...         0.05%       3.341ms         0.20%      13.111ms       5.960us           0 B           0 B          2200  
     autograd::engine::evaluate_function: ReluBackward0         0.05%       3.331ms         0.22%      14.315ms       8.134us     -16.29 MB     -32.59 MB          1760  
                                   SafeSoftmaxBackward0         0.05%       3.305ms         0.35%      22.928ms      13.027us      13.29 MB           0 B          1760  
                                       SqueezeBackward1         0.05%       3.302ms         0.15%       9.770ms       4.441us           0 B           0 B          2200  
                                   aten::slice_backward         0.05%       3.246ms         0.13%       8.769ms       9.965us       3.43 MB           0 B           880  
                                          ReluBackward0         0.05%       3.246ms         0.17%      10.985ms       6.241us      16.29 MB           0 B          1760  
                                            aten::zero_         0.05%       3.075ms         0.69%      45.312ms       4.046us           0 B           0 B         11200  
                                          aten::resize_         0.05%       3.032ms         0.05%       3.032ms       0.852us       4.55 MB       4.55 MB          3560  
                                        ExpandBackward0         0.04%       2.950ms         0.09%       5.675ms       0.717us       1.72 MB           0 B          7920  
