[train_mean][TFT efficiency] Running on device: cpu
[train_mean][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 083 | train=0.000970 | val=RMSE:902.02|MAE:703.70|MAPE:6.09% | epoch_time=0.26s
[efficiency_mean] Epoch 084 | train=0.001030 | val=RMSE:864.03|MAE:659.10|MAPE:5.70% | epoch_time=0.25s
[efficiency_mean] Epoch 085 | train=0.001001 | val=RMSE:806.76|MAE:611.33|MAPE:5.30% | epoch_time=0.26s
[efficiency_mean] Epoch 086 | train=0.001049 | val=RMSE:895.88|MAE:690.54|MAPE:5.97% | epoch_time=0.26s
[efficiency_mean] Epoch 087 | train=0.001011 | val=RMSE:819.94|MAE:629.58|MAPE:5.46% | epoch_time=0.26s
[efficiency_mean] Epoch 088 | train=0.001060 | val=RMSE:843.00|MAE:648.41|MAPE:5.61% | epoch_time=0.26s
[efficiency_mean] Epoch 089 | train=0.001044 | val=RMSE:907.96|MAE:704.51|MAPE:6.10% | epoch_time=0.26s
[efficiency_mean] Epoch 090 | train=0.001107 | val=RMSE:860.40|MAE:667.21|MAPE:5.78% | epoch_time=0.26s
[efficiency_mean] Epoch 091 | train=0.000980 | val=RMSE:867.21|MAE:672.67|MAPE:5.83% | epoch_time=0.26s
[efficiency_mean] Epoch 092 | train=0.001124 | val=RMSE:862.38|MAE:662.21|MAPE:5.73% | epoch_time=0.26s
[efficiency_mean] Epoch 093 | train=0.001046 | val=RMSE:825.89|MAE:631.99|MAPE:5.48% | epoch_time=0.26s
[efficiency_mean] Epoch 094 | train=0.001015 | val=RMSE:921.14|MAE:713.16|MAPE:6.17% | epoch_time=0.26s
[efficiency_mean] Epoch 095 | train=0.000989 | val=RMSE:822.85|MAE:632.17|MAPE:5.48% | epoch_time=0.26s
[efficiency_mean] Epoch 096 | train=0.001077 | val=RMSE:872.23|MAE:666.77|MAPE:5.76% | epoch_time=0.26s
[efficiency_mean] Epoch 097 | train=0.001065 | val=RMSE:865.69|MAE:656.88|MAPE:5.68% | epoch_time=0.26s
[efficiency_mean] Epoch 098 | train=0.001088 | val=RMSE:874.72|MAE:676.48|MAPE:5.86% | epoch_time=0.26s
[efficiency_mean] Epoch 099 | train=0.001038 | val=RMSE:891.92|MAE:687.02|MAPE:5.94% | epoch_time=0.26s
[efficiency_mean] Epoch 100 | train=0.000984 | val=RMSE:929.23|MAE:708.95|MAPE:6.13% | epoch_time=0.26s
Saved loss curves: ICBP_mean_training_loss_curve.png, ICBP_mean_validation_rmse_curve.png
================================================================================
Run timestamp: 2025-11-11 04:38:23
Ticker: ICBP
[efficiency_mean] Done. Total elapsed: 75.22s
[efficiency_mean] Test RMSE=977.74 MAE=818.69 MAPE=7.35%
[train_mean][TFT efficiency] Done on device: cpu
[save_metrics] Final metrics in: /home/ubuntu/skripsi_2602214545/tft/efficiency/results/metrics
[save_metrics] Files: ICBP_mean_val_metrics.(json|txt), ICBP_mean_test_metrics.(json|txt)
================================================================================

[train_mean][TFT efficiency] Running on device: cpu
[train_mean][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.041951 | val=RMSE:1863.86|MAE:1738.90|MAPE:15.36% | epoch_time=0.50s
[efficiency_mean] Epoch 002 | train=0.036409 | val=RMSE:1889.66|MAE:1766.52|MAPE:15.61% | epoch_time=0.46s
[efficiency_mean] Epoch 003 | train=0.036805 | val=RMSE:1856.11|MAE:1730.59|MAPE:15.29% | epoch_time=0.65s
[efficiency_mean] Epoch 004 | train=0.036316 | val=RMSE:1800.59|MAE:1670.91|MAPE:14.75% | epoch_time=0.66s
[efficiency_mean] Epoch 005 | train=0.035995 | val=RMSE:1837.77|MAE:1710.91|MAPE:15.11% | epoch_time=0.65s
[efficiency_mean] Epoch 006 | train=0.035532 | val=RMSE:1890.31|MAE:1767.23|MAPE:15.62% | epoch_time=0.66s
[efficiency_mean] Epoch 007 | train=0.035950 | val=RMSE:1777.52|MAE:1646.02|MAPE:14.52% | epoch_time=0.65s
[efficiency_mean] Epoch 008 | train=0.035421 | val=RMSE:1867.34|MAE:1742.63|MAPE:15.39% | epoch_time=0.65s
[efficiency_mean] Epoch 009 | train=0.034822 | val=RMSE:1810.94|MAE:1682.06|MAPE:14.85% | epoch_time=0.65s
[efficiency_mean] Epoch 010 | train=0.035008 | val=RMSE:1756.63|MAE:1623.44|MAPE:14.32% | epoch_time=0.66s
[efficiency_mean] Epoch 011 | train=0.034749 | val=RMSE:1880.65|MAE:1756.88|MAPE:15.52% | epoch_time=0.66s
[efficiency_mean] Epoch 012 | train=0.034815 | val=RMSE:1852.24|MAE:1726.44|MAPE:15.25% | epoch_time=197.95s
[efficiency_mean] Epoch 013 | train=0.034898 | val=RMSE:1829.48|MAE:1702.00|MAPE:15.03% | epoch_time=0.47s
[efficiency_mean] Epoch 014 | train=0.034552 | val=RMSE:1867.83|MAE:1743.16|MAPE:15.40% | epoch_time=0.47s
[efficiency_mean] Epoch 015 | train=0.034369 | val=RMSE:1736.61|MAE:1601.75|MAPE:14.12% | epoch_time=0.47s
