[train_close][TCN efficiency] Running on device: cpu
[train_close][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 069 | train=0.000330 | val=RMSE:534.17|MAE:431.18|MAPE:3.78% | epoch_time=0.72s
[efficiency_close] Epoch 070 | train=0.000325 | val=RMSE:513.37|MAE:423.37|MAPE:3.72% | epoch_time=0.72s
[efficiency_close] Epoch 071 | train=0.000348 | val=RMSE:556.56|MAE:460.80|MAPE:4.05% | epoch_time=0.71s
[efficiency_close] Epoch 072 | train=0.000305 | val=RMSE:470.56|MAE:377.01|MAPE:3.32% | epoch_time=0.72s
[efficiency_close] Epoch 073 | train=0.000333 | val=RMSE:498.96|MAE:403.95|MAPE:3.56% | epoch_time=0.72s
[efficiency_close] Epoch 074 | train=0.000325 | val=RMSE:503.42|MAE:412.13|MAPE:3.63% | epoch_time=0.71s
[efficiency_close] Epoch 075 | train=0.000458 | val=RMSE:514.35|MAE:413.57|MAPE:3.63% | epoch_time=0.72s
[efficiency_close] Epoch 076 | train=0.000680 | val=RMSE:459.11|MAE:372.11|MAPE:3.29% | epoch_time=0.72s
[efficiency_close] Epoch 077 | train=0.000358 | val=RMSE:509.42|MAE:413.23|MAPE:3.64% | epoch_time=0.72s
[efficiency_close] Epoch 078 | train=0.000295 | val=RMSE:444.52|MAE:359.10|MAPE:3.18% | epoch_time=0.72s
[efficiency_close] Epoch 079 | train=0.000313 | val=RMSE:459.77|MAE:374.51|MAPE:3.32% | epoch_time=0.72s
[efficiency_close] Epoch 080 | train=0.000420 | val=RMSE:497.88|MAE:401.90|MAPE:3.54% | epoch_time=0.72s
[efficiency_close] Epoch 081 | train=0.000370 | val=RMSE:506.21|MAE:413.76|MAPE:3.63% | epoch_time=0.72s
[efficiency_close] Epoch 082 | train=0.000264 | val=RMSE:489.41|MAE:397.63|MAPE:3.50% | epoch_time=0.72s
