[train_close][LSTM efficiency] Running on device: cpu
[train_close][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 086 | train=0.000572 | val=RMSE:1200.93|MAE:1101.15|MAPE:10.89% | epoch_time=0.58s
[efficiency_close] Epoch 087 | train=0.000614 | val=RMSE:1066.25|MAE:953.77|MAPE:9.41% | epoch_time=0.61s
[efficiency_close] Epoch 088 | train=0.000643 | val=RMSE:1193.25|MAE:1088.56|MAPE:10.76% | epoch_time=0.62s
[efficiency_close] Epoch 089 | train=0.000635 | val=RMSE:1148.56|MAE:1044.06|MAPE:10.32% | epoch_time=0.62s
[efficiency_close] Epoch 090 | train=0.000569 | val=RMSE:1227.24|MAE:1121.52|MAPE:11.10% | epoch_time=0.62s
[efficiency_close] Epoch 091 | train=0.000632 | val=RMSE:1200.06|MAE:1096.81|MAPE:10.84% | epoch_time=0.61s
[efficiency_close] Epoch 092 | train=0.000600 | val=RMSE:1146.89|MAE:1036.69|MAPE:10.24% | epoch_time=0.60s
[efficiency_close] Epoch 093 | train=0.000613 | val=RMSE:1232.56|MAE:1123.42|MAPE:11.11% | epoch_time=0.61s
[efficiency_close] Epoch 094 | train=0.000602 | val=RMSE:1294.76|MAE:1203.72|MAPE:11.93% | epoch_time=0.61s
[efficiency_close] Epoch 095 | train=0.000570 | val=RMSE:1167.17|MAE:1064.11|MAPE:10.53% | epoch_time=0.62s
[efficiency_close] Epoch 096 | train=0.000577 | val=RMSE:1086.54|MAE:987.25|MAPE:9.76% | epoch_time=0.62s
[efficiency_close] Epoch 097 | train=0.000589 | val=RMSE:1225.14|MAE:1120.84|MAPE:11.09% | epoch_time=0.60s
[efficiency_close] Epoch 098 | train=0.000601 | val=RMSE:1247.84|MAE:1153.42|MAPE:11.42% | epoch_time=0.61s
[efficiency_close] Epoch 099 | train=0.000608 | val=RMSE:1167.95|MAE:1060.23|MAPE:10.47% | epoch_time=0.61s
[efficiency_close] Epoch 100 | train=0.000635 | val=RMSE:1128.90|MAE:1018.68|MAPE:10.06% | epoch_time=0.62s
Saved loss curves: BBCA_close_training_loss_curve.png, BBCA_close_validation_rmse_curve.png
================================================================================
Run timestamp: 2025-11-11 02:16:02
Ticker: BBCA
[efficiency_close] Done. Total elapsed: 85.68s
[efficiency_close] Test RMSE=1060.44 MAE=841.42 MAPE=9.05%
[train_close][LSTM efficiency] Done on device: cpu
[save_metrics] Final metrics in: /home/ubuntu/skripsi_2602214545/lstm/efficiency/results/metrics
[save_metrics] Files: BBCA_close_val_metrics.(json|txt), BBCA_close_test_metrics.(json|txt)
================================================================================

