[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 085 | train=0.001199 | val=RMSE:1088.92|MAE:980.26|MAPE:9.69% | epoch_time=0.26s
[efficiency_close] Epoch 086 | train=0.001196 | val=RMSE:1160.30|MAE:1060.23|MAPE:10.50% | epoch_time=0.26s
[efficiency_close] Epoch 087 | train=0.001131 | val=RMSE:1129.41|MAE:1021.63|MAPE:10.10% | epoch_time=0.26s
[efficiency_close] Epoch 088 | train=0.001060 | val=RMSE:1170.72|MAE:1049.58|MAPE:10.37% | epoch_time=0.26s
[efficiency_close] Epoch 089 | train=0.001122 | val=RMSE:1391.14|MAE:1293.36|MAPE:12.82% | epoch_time=0.26s
[efficiency_close] Epoch 090 | train=0.001148 | val=RMSE:1234.51|MAE:1142.27|MAPE:11.31% | epoch_time=0.26s
[efficiency_close] Epoch 091 | train=0.001200 | val=RMSE:1184.97|MAE:1077.78|MAPE:10.67% | epoch_time=0.26s
[efficiency_close] Epoch 092 | train=0.001197 | val=RMSE:1271.09|MAE:1170.65|MAPE:11.60% | epoch_time=0.26s
[efficiency_close] Epoch 093 | train=0.001152 | val=RMSE:1132.97|MAE:1032.90|MAPE:10.22% | epoch_time=0.27s
[efficiency_close] Epoch 094 | train=0.001238 | val=RMSE:1140.43|MAE:1027.29|MAPE:10.16% | epoch_time=0.27s
[efficiency_close] Epoch 095 | train=0.001030 | val=RMSE:1190.05|MAE:1070.17|MAPE:10.58% | epoch_time=0.26s
[efficiency_close] Epoch 096 | train=0.001235 | val=RMSE:1086.57|MAE:954.16|MAPE:9.41% | epoch_time=0.26s
[efficiency_close] Epoch 097 | train=0.001276 | val=RMSE:1196.75|MAE:1092.31|MAPE:10.80% | epoch_time=0.27s
[efficiency_close] Epoch 098 | train=0.001220 | val=RMSE:1109.38|MAE:1004.74|MAPE:9.93% | epoch_time=0.27s
[efficiency_close] Epoch 099 | train=0.001119 | val=RMSE:1186.93|MAE:1085.29|MAPE:10.74% | epoch_time=0.26s
[efficiency_close] Epoch 100 | train=0.001123 | val=RMSE:1201.31|MAE:1089.30|MAPE:10.77% | epoch_time=0.26s
Saved loss curves: BBCA_close_training_loss_curve.png, BBCA_close_validation_rmse_curve.png
================================================================================
Run timestamp: 2025-11-11 04:51:14
Ticker: BBCA
[efficiency_close] Done. Total elapsed: 75.12s
[efficiency_close] Test RMSE=971.67 MAE=845.20 MAPE=9.11%
[train_close][TFT efficiency] Done on device: cpu
[save_metrics] Final metrics in: /home/ubuntu/skripsi_2602214545/tft/efficiency/results/metrics
[save_metrics] Files: BBCA_close_val_metrics.(json|txt), BBCA_close_test_metrics.(json|txt)
================================================================================

[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.057052 | val=RMSE:2650.93|MAE:2617.83|MAPE:26.15% | epoch_time=0.73s
[efficiency_close] Epoch 002 | train=0.044726 | val=RMSE:2427.87|MAE:2392.33|MAPE:23.89% | epoch_time=0.47s
[efficiency_close] Epoch 003 | train=0.041756 | val=RMSE:2103.49|MAE:2067.23|MAPE:20.63% | epoch_time=0.68s
[efficiency_close] Epoch 004 | train=0.020445 | val=RMSE:1060.70|MAE:985.34|MAPE:9.74% | epoch_time=0.66s
[efficiency_close] Epoch 005 | train=0.013125 | val=RMSE:748.81|MAE:643.09|MAPE:6.31% | epoch_time=0.67s
[efficiency_close] Epoch 006 | train=0.011694 | val=RMSE:970.35|MAE:887.55|MAPE:8.76% | epoch_time=0.66s
[efficiency_close] Epoch 007 | train=0.010660 | val=RMSE:996.36|MAE:912.88|MAPE:9.01% | epoch_time=0.67s
