-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::sigmoid         0.04%       2.783ms         0.04%       2.783ms       5.154us       2.08 MB       2.08 MB           540  
                                     UnsqueezeBackward0         0.04%       2.679ms         0.16%      10.236ms       3.323us           0 B           0 B          3080  
autograd::engine::evaluate_function: PermuteBackward...         0.04%       2.604ms         0.15%      10.024ms       5.695us           0 B           0 B          1760  
                                       aten::contiguous         0.04%       2.556ms         1.28%      82.963ms      30.727us     324.87 MB           0 B          2700  
                                           MulBackward1         0.04%       2.507ms         0.74%      47.841ms      13.591us     113.20 MB      -3.90 KB          3520  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.04%       2.496ms         0.10%       6.423ms       3.649us           0 B           0 B          1760  
                                             aten::triu         0.04%       2.482ms         0.04%       2.482ms       2.298us       4.22 KB       4.22 KB          1080  
                                SplitWithSizesBackward0         0.04%       2.452ms         0.15%       9.705ms       5.514us      10.63 MB           0 B          1760  
                                             aten::tril         0.04%       2.280ms         0.04%       2.280ms       2.591us         877 B         877 B           880  
                                       PermuteBackward0         0.03%       2.240ms         0.11%       7.420ms       4.216us           0 B           0 B          1760  
autograd::engine::evaluate_function: SoftmaxBackward...         0.03%       2.223ms         0.22%      14.317ms      16.270us     -53.17 MB    -106.34 MB           880  
                                           CatBackward0         0.03%       2.070ms         0.15%       9.868ms      11.213us           0 B           0 B           880  
                                             aten::full         0.03%       2.050ms         0.05%       3.388ms       3.137us       4.22 KB           0 B          1080  
                                       aten::zeros_like         0.03%       2.048ms         0.07%       4.769ms       3.613us       3.48 MB           0 B          1320  
                                           AddBackward0         0.03%       2.010ms         0.03%       2.010ms       0.381us           0 B           0 B          5280  
                                               aten::eq         0.03%       1.992ms         0.03%       1.992ms       3.690us         540 B         540 B           540  
                                       SoftmaxBackward0         0.03%       1.847ms         0.19%      12.095ms      13.744us      53.17 MB           0 B           880  
                                            aten::clamp         0.03%       1.829ms         0.03%       1.874ms       4.259us       1.72 KB       1.72 KB           440  
                                             aten::ones         0.03%       1.766ms         0.05%       3.205ms       3.642us         880 B          13 B           880  
                                       aten::reciprocal         0.03%       1.699ms         0.03%       1.699ms       3.862us       1.72 KB       1.72 KB           440  
                                 aten::sigmoid_backward         0.03%       1.684ms         0.03%       1.684ms       3.826us       1.72 MB       1.72 MB           440  
                                             aten::mean         0.03%       1.680ms         0.12%       7.678ms      17.451us           0 B        -720 B           440  
                                       MseLossBackward0         0.03%       1.649ms         0.11%       7.116ms      16.174us      54.88 KB           0 B           440  
                                aten::new_empty_strided         0.03%       1.640ms         0.04%       2.506ms       2.848us           0 B           0 B           880  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.488ms         0.13%       8.605ms      19.556us      54.88 KB           0 B           440  
                                         SliceBackward0         0.02%       1.485ms         0.15%       9.945ms      11.302us       3.43 MB           0 B           880  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.467ms         0.18%      11.413ms      12.969us           0 B      -3.43 MB           880  
                                  ReshapeAliasBackward0         0.02%       1.299ms         0.06%       3.926ms       2.231us           0 B           0 B          1760  
                                              aten::abs         0.02%       1.119ms         0.02%       1.119ms       2.542us           0 B           0 B           440  
                                        aten::ones_like         0.01%     953.816us         0.05%       2.963ms       6.734us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SigmoidBackward...         0.01%     942.531us         0.05%       3.567ms       8.108us      -1.72 MB      -3.43 MB           440  
                                       SigmoidBackward0         0.01%     941.344us         0.04%       2.625ms       5.966us       1.72 MB           0 B           440  
                                aten::broadcast_tensors         0.01%     887.633us         0.01%     887.633us       2.017us           0 B           0 B           440  
                                         CloneBackward0         0.01%     804.652us         0.01%     804.652us       0.305us           0 B           0 B          2640  
                                       aten::is_nonzero         0.01%     567.354us         0.02%       1.594ms       2.952us           0 B           0 B           540  
                                          aten::view_as         0.01%     487.560us         0.01%     838.565us       1.553us           0 B           0 B           540  
                                         aten::randperm         0.01%     420.705us         0.01%     916.633us      22.916us     219.53 KB        -160 B            40  
                              aten::cudnn_is_acceptable         0.01%     330.306us         0.01%     330.306us       0.612us           0 B           0 B           540  
                                          aten::random_         0.00%     148.521us         0.00%     148.521us       7.426us           0 B           0 B            20  
                                      aten::resolve_neg         0.00%      20.958us         0.00%      20.958us       0.095us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.498s
