-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       SqueezeBackward1         0.02%       1.008ms         0.05%       2.815ms       3.199us           0 B           0 B           880  
                                           MulBackward0         0.01%     910.115us         0.04%       2.182ms       4.960us       3.43 MB           0 B           440  
                                        aten::ones_like         0.01%     810.773us         0.03%       1.803ms       4.097us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     789.516us         0.23%      14.354ms      32.622us      99.48 MB      -3.43 MB           440  
autograd::engine::evaluate_function: TransposeBackwa...         0.01%     786.500us         0.04%       2.360ms       5.363us           0 B           0 B           440  
      autograd::engine::evaluate_function: MulBackward0         0.01%     782.207us         0.05%       2.965ms       6.738us      -3.43 MB      -6.86 MB           440  
     autograd::engine::evaluate_function: ReluBackward0         0.01%     776.434us         0.08%       4.735ms      10.761us      -3.43 MB      -6.86 MB           440  
                                             TBackward0         0.01%     729.806us         0.04%       2.524ms       2.869us           0 B           0 B           880  
                                     aten::resolve_conj         0.01%     690.810us         0.01%     690.810us       0.102us           0 B           0 B          6780  
                                          aten::resize_         0.01%     643.403us         0.01%     643.403us       1.340us           0 B           0 B           480  
                              aten::cudnn_is_acceptable         0.01%     629.732us         0.01%     629.732us       1.166us           0 B           0 B           540  
                                         aten::randperm         0.01%     446.778us         0.02%     980.548us      24.514us     219.53 KB        -160 B            40  
                                     TransposeBackward0         0.01%     426.612us         0.03%       1.573ms       3.575us           0 B           0 B           440  
                                          aten::random_         0.00%     160.289us         0.00%     160.289us       8.014us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      59.066us         0.00%      59.066us       2.953us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      25.266us         0.00%      25.266us       0.115us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.210s
