-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
      autograd::engine::evaluate_function: MulBackward0         0.01%     778.745us         0.05%       2.894ms       6.577us      -3.43 MB      -6.86 MB           440  
autograd::engine::evaluate_function: TransposeBackwa...         0.01%     768.492us         0.04%       2.443ms       5.552us           0 B           0 B           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     750.947us         0.23%      13.731ms      31.208us      99.48 MB      -3.43 MB           440  
                                        aten::ones_like         0.01%     735.274us         0.03%       1.679ms       3.815us       1.72 KB           0 B           440  
     autograd::engine::evaluate_function: ReluBackward0         0.01%     733.937us         0.08%       4.655ms      10.579us      -3.43 MB      -6.86 MB           440  
                                             TBackward0         0.01%     733.224us         0.04%       2.423ms       2.754us           0 B           0 B           880  
                                     aten::resolve_conj         0.01%     697.363us         0.01%     697.363us       0.103us           0 B           0 B          6780  
                                          aten::resize_         0.01%     617.693us         0.01%     617.693us       1.287us           0 B           0 B           480  
                              aten::cudnn_is_acceptable         0.01%     569.338us         0.01%     569.338us       1.054us           0 B           0 B           540  
                                         aten::randperm         0.01%     460.426us         0.02%     979.903us      24.498us     219.53 KB        -160 B            40  
                                     TransposeBackward0         0.01%     446.422us         0.03%       1.674ms       3.805us           0 B           0 B           440  
                                          aten::random_         0.00%     157.881us         0.00%     157.881us       7.894us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      58.112us         0.00%      58.112us       2.906us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      24.492us         0.00%      24.492us       0.111us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.939s
